			pt1000 - external - setpoint - internal
2022-05-25 08:57:48:	20.75	0.00	0.00	0.00
2022-05-25 08:58:07:	20.79	0.00	0.00	0.00
2022-05-25 08:58:25:	20.79	0.00	0.00	0.00
2022-05-25 08:58:43:	20.80	0.00	0.00	0.00
2022-05-25 08:59:01:	20.81	0.00	0.00	0.00
2022-05-25 08:59:19:	20.82	0.00	0.00	0.00
2022-05-25 08:59:37:	20.85	0.00	0.00	0.00
2022-05-25 08:59:55:	20.88	0.00	0.00	0.00
2022-05-25 09:00:13:	20.92	0.00	0.00	0.00
2022-05-25 09:00:32:	20.98	0.00	0.00	0.00
2022-05-25 09:00:50:	21.05	0.00	0.00	0.00
2022-05-25 09:01:08:	21.14	0.00	0.00	0.00
2022-05-25 09:01:26:	21.25	0.00	0.00	0.00
2022-05-25 09:01:44:	21.38	0.00	0.00	0.00
2022-05-25 09:02:02:	21.61	0.00	0.00	0.00
2022-05-25 09:02:20:	22.00	0.00	0.00	0.00
2022-05-25 09:02:39:	22.64	0.00	0.00	0.00
2022-05-25 09:02:57:	23.53	0.00	0.00	0.00
2022-05-25 09:03:15:	24.51	0.00	0.00	0.00
2022-05-25 09:03:33:	25.52	0.00	0.00	0.00
2022-05-25 09:03:51:	26.60	0.00	0.00	0.00
2022-05-25 09:04:09:	28.57	0.00	0.00	0.00
2022-05-25 09:04:27:	31.17	0.00	0.00	0.00
2022-05-25 09:04:45:	34.81	0.00	0.00	0.00
2022-05-25 09:05:04:	37.62	0.00	0.00	0.00
2022-05-25 09:05:22:	37.63	0.00	0.00	0.00
2022-05-25 09:05:41:	37.61	0.00	0.00	0.00
2022-05-25 09:05:59:	37.57	0.00	0.00	0.00
2022-05-25 09:06:17:	37.61	0.00	0.00	0.00
2022-05-25 09:06:35:	37.52	0.00	0.00	0.00
2022-05-25 09:06:53:	37.44	0.00	0.00	0.00
2022-05-25 09:07:11:	37.52	0.00	0.00	0.00
2022-05-25 09:07:29:	37.51	0.00	0.00	0.00
2022-05-25 09:07:47:	37.52	0.00	0.00	0.00
2022-05-25 09:08:05:	37.47	0.00	0.00	0.00
2022-05-25 09:08:23:	37.48	0.00	0.00	0.00
2022-05-25 09:08:41:	37.50	0.00	0.00	0.00
2022-05-25 09:08:59:	37.54	0.00	0.00	0.00
2022-05-25 09:09:17:	37.53	0.00	0.00	0.00
2022-05-25 09:09:36:	37.54	0.00	0.00	0.00
2022-05-25 09:09:54:	34.38	0.00	0.00	0.00
2022-05-25 09:10:12:	33.39	0.00	0.00	0.00
2022-05-25 09:10:30:	33.22	0.00	0.00	0.00
2022-05-25 09:10:49:	33.10	0.00	0.00	0.00
2022-05-25 09:11:07:	32.93	0.00	0.00	0.00
2022-05-25 09:11:25:	31.82	0.00	0.00	0.00
2022-05-25 09:11:44:	31.33	0.00	0.00	0.00
2022-05-25 09:12:02:	31.29	0.00	0.00	0.00
2022-05-25 09:12:21:	32.84	0.00	0.00	0.00
2022-05-25 09:12:39:	35.76	0.00	0.00	0.00
2022-05-25 09:12:57:	36.66	0.00	0.00	0.00

 END: Keyboard Interrupt (or some other exception)

