			pt1000 - external - setpoint - internal
2021-11-03 10:20:07:	14.89	14.49	20.00	14.33
2021-11-03 10:20:28:	15.26	14.67	20.00	14.47
2021-11-03 10:20:49:	15.43	14.92	20.00	14.59
2021-11-03 10:21:10:	15.58	15.04	15.00	14.67
2021-11-03 10:21:31:	15.71	15.21	15.00	14.69
2021-11-03 10:21:51:	15.87	15.37	15.00	14.71
2021-11-03 10:22:12:	15.98	15.49	15.00	14.72
2021-11-03 10:22:32:	16.13	15.61	15.00	14.69
2021-11-03 10:22:53:	16.24	15.71	15.00	14.23
2021-11-03 10:23:14:	16.32	15.81	15.00	13.67
2021-11-03 10:23:34:	16.41	15.86	15.00	14.72
2021-11-03 10:23:55:	16.45	15.90	15.00	15.09
2021-11-03 10:24:16:	16.50	15.92	15.00	14.73
2021-11-03 10:24:36:	16.56	15.98	15.00	14.49
2021-11-03 10:24:57:	16.63	16.05	15.00	14.43
2021-11-03 10:25:17:	16.68	16.11	15.00	14.30
2021-11-03 10:25:38:	16.71	16.13	15.00	13.87
2021-11-03 10:25:59:	16.73	16.15	15.00	13.66
2021-11-03 10:26:20:	16.74	16.14	15.00	13.43
2021-11-03 10:26:41:	16.75	16.10	15.00	13.29
2021-11-03 10:27:01:	16.69	16.08	15.00	13.24
2021-11-03 10:27:22:	16.78	15.99	15.00	13.21
2021-11-03 10:27:43:	16.78	15.92	15.00	13.16
2021-11-03 10:28:04:	16.69	15.89	15.00	13.21
2021-11-03 10:28:24:	16.61	15.84	-20.00	13.21
2021-11-03 10:28:45:	16.54	15.80	-20.00	12.56
2021-11-03 10:29:06:	16.47	15.74	-20.00	11.56
2021-11-03 10:29:27:	16.40	15.67	-20.00	9.61
2021-11-03 10:29:47:	16.28	15.53	-20.00	7.26
2021-11-03 10:30:08:	16.10	15.30	-20.00	5.16
2021-11-03 10:30:29:	15.82	14.93	-20.00	3.29
2021-11-03 10:30:50:	15.44	14.42	-20.00	1.66
2021-11-03 10:31:11:	14.96	13.79	-20.00	0.06
2021-11-03 10:31:32:	14.38	13.05	-20.00	-2.15
2021-11-03 10:31:53:	13.74	12.23	-20.00	-3.51
2021-11-03 10:32:14:	13.02	11.34	-20.00	-4.67
2021-11-03 10:32:35:	12.22	10.37	-20.00	-6.05
2021-11-03 10:32:57:	11.39	9.41	-20.00	-7.32
2021-11-03 10:33:18:	10.51	8.41	-20.00	-8.07
2021-11-03 10:33:40:	9.64	7.42	15.00	-8.87
2021-11-03 10:34:01:	8.75	6.46	15.00	-9.18
2021-11-03 10:34:22:	7.88	5.55	15.00	-7.34
2021-11-03 10:34:43:	7.02	4.68	15.00	-3.20
2021-11-03 10:35:05:	6.25	3.93	15.00	1.04
2021-11-03 10:35:26:	5.63	3.43	15.00	3.57
2021-11-03 10:35:47:	5.25	3.25	15.00	5.43
2021-11-03 10:36:08:	5.08	3.41	15.00	6.95
2021-11-03 10:36:30:	5.13	3.81	15.00	8.17
2021-11-03 10:36:51:	5.34	4.36	15.00	8.77
2021-11-03 10:37:12:	5.72	4.97	15.00	9.01
2021-11-03 10:37:33:	6.14	5.61	15.00	9.08
2021-11-03 10:37:54:	6.64	6.27	15.00	8.95
2021-11-03 10:38:14:	7.16	6.89	15.00	8.07
2021-11-03 10:38:35:	7.65	7.46	15.00	7.68
2021-11-03 10:38:56:	8.10	7.93	15.00	7.36
2021-11-03 10:39:16:	8.49	8.31	15.00	6.89
2021-11-03 10:39:38:	8.83	8.60	15.00	6.53
2021-11-03 10:39:59:	9.12	8.81	15.00	6.21
2021-11-03 10:40:20:	9.33	8.95	15.00	6.04
2021-11-03 10:40:40:	9.50	9.03	15.00	6.11
2021-11-03 10:41:01:	9.64	9.07	15.00	6.61
2021-11-03 10:41:22:	9.70	9.11	15.00	7.29
2021-11-03 10:41:43:	9.80	9.16	15.00	7.55
2021-11-03 10:42:03:	9.90	9.25	15.00	7.75
2021-11-03 10:42:24:	10.01	9.35	15.00	8.07
2021-11-03 10:42:45:	10.13	9.48	-20.00	8.36
2021-11-03 10:43:05:	10.26	9.60	-20.00	8.06
2021-11-03 10:43:26:	10.39	9.77	-20.00	6.90
2021-11-03 10:43:47:	10.53	9.92	-20.00	5.19
2021-11-03 10:44:09:	10.62	10.00	-20.00	2.33
2021-11-03 10:44:30:	10.65	9.98	-20.00	-0.26
2021-11-03 10:44:51:	10.55	9.78	-20.00	-2.81
2021-11-03 10:45:12:	10.33	9.38	-20.00	-4.71
2021-11-03 10:45:33:	9.97	8.82	-20.00	-6.48
2021-11-03 10:45:54:	9.50	8.12	-20.00	-7.55
2021-11-03 10:46:15:	8.92	7.31	-20.00	-9.16
2021-11-03 10:46:37:	8.24	6.45	-20.00	-10.85
2021-11-03 10:46:58:	7.50	5.54	-20.00	-11.86
2021-11-03 10:47:19:	6.70	4.60	-20.00	-12.17
2021-11-03 10:47:41:	5.90	3.65	-20.00	-12.49
2021-11-03 10:48:02:	5.07	2.76	-20.00	-11.90
2021-11-03 10:48:23:	4.29	1.93	-20.00	-11.68
2021-11-03 10:48:45:	3.54	1.16	-20.00	-12.07
2021-11-03 10:49:05:	2.87	0.50	-20.00	-13.58
2021-11-03 10:49:26:	2.24	-0.09	-20.00	-14.89
2021-11-03 10:49:47:	1.65	-0.66	-20.00	-15.26
2021-11-03 10:50:08:	1.07	-1.22	-20.00	-14.89
2021-11-03 10:50:29:	0.52	-1.78	-20.00	-14.78
2021-11-03 10:50:50:	-0.04	-2.30	-20.00	-15.97
2021-11-03 10:51:10:	-0.52	-2.78	-20.00	-17.17
2021-11-03 10:51:31:	-0.99	-3.23	-20.00	-17.60
2021-11-03 10:51:52:	-1.46	-3.70	-20.00	-19.16
2021-11-03 10:52:12:	-1.97	-4.20	-20.00	-19.71
2021-11-03 10:52:33:	-2.43	-4.70	-20.00	-18.98
2021-11-03 10:52:54:	-2.93	-5.22	-20.00	-18.95
2021-11-03 10:53:15:	-3.42	-5.70	-20.00	-19.23
2021-11-03 10:53:35:	-3.83	-6.14	-20.00	-19.90
2021-11-03 10:53:56:	-4.24	-6.56	-20.00	-21.67
2021-11-03 10:54:17:	-4.67	-6.94	-20.00	-22.13
2021-11-03 10:54:37:	-5.06	-7.36	-20.00	-21.57
2021-11-03 10:54:58:	-5.49	-7.77	-20.00	-21.43
2021-11-03 10:55:18:	-5.87	-8.18	-20.00	-21.58
2021-11-03 10:55:39:	-6.30	-8.56	-20.00	-22.11
2021-11-03 10:56:00:	-6.66	-8.90	-20.00	-22.93
2021-11-03 10:56:20:	-6.99	-9.21	-20.00	-23.53
2021-11-03 10:56:40:	-7.29	-9.52	-20.00	-23.53
2021-11-03 10:57:01:	-7.61	-9.82	-20.00	-23.36
2021-11-03 10:57:22:	-7.90	-10.14	-20.00	-23.83
2021-11-03 10:57:42:	-8.24	-10.40	-20.00	-23.61
2021-11-03 10:58:03:	-8.51	-10.71	-20.00	-23.78
2021-11-03 10:58:23:	-8.80	-10.98	-20.00	-25.35
2021-11-03 10:58:44:	-9.09	-11.25	-20.00	-24.62
2021-11-03 10:59:05:	-9.38	-11.54	-20.00	-25.49
2021-11-03 10:59:25:	-9.64	-11.86	-20.00	-26.18
2021-11-03 10:59:46:	-10.00	-12.21	-20.00	-25.85
2021-11-03 11:00:06:	-10.28	-12.55	-20.00	-25.82
2021-11-03 11:00:27:	-10.60	-12.84	-20.00	-26.62
2021-11-03 11:00:47:	-10.86	-13.11	-20.00	-25.86
2021-11-03 11:01:08:	-11.17	-13.34	-20.00	-24.74
2021-11-03 11:01:28:	-11.36	-13.59	-20.00	-25.73
2021-11-03 11:01:49:	-11.59	-13.78	-20.00	-26.37
2021-11-03 11:02:09:	-11.85	-13.98	-20.00	-29.42
2021-11-03 11:02:30:	-12.03	-14.14	-20.00	-26.91
2021-11-03 11:02:51:	-12.25	-14.36	-20.00	-26.63
2021-11-03 11:03:11:	-12.45	-14.55	-20.00	-24.80
2021-11-03 11:03:32:	-12.65	-14.69	-20.00	-25.67
2021-11-03 11:03:53:	-12.80	-14.82	-20.00	-26.75
2021-11-03 11:04:13:	-12.93	-14.92	-20.00	-29.75
2021-11-03 11:04:33:	-13.07	-15.00	-20.00	-28.21
2021-11-03 11:04:54:	-13.15	-15.13	-20.00	-26.57
2021-11-03 11:05:14:	-13.24	-15.26	-20.00	-26.59
2021-11-03 11:05:35:	-13.37	-15.37	-20.00	-27.54
2021-11-03 11:05:55:	-13.46	-15.44	-20.00	-28.36
2021-11-03 11:06:16:	-13.49	-15.50	-20.00	-28.66
2021-11-03 11:06:36:	-13.61	-15.62	-20.00	-27.04
2021-11-03 11:06:57:	-13.71	-15.69	-20.00	-28.08
2021-11-03 11:07:17:	-13.77	-15.79	-20.00	-29.17
2021-11-03 11:07:38:	-13.90	-15.90	-20.00	-29.25
2021-11-03 11:07:59:	-13.98	-16.02	-20.00	-28.75
2021-11-03 11:08:19:	-14.09	-16.17	-20.00	-29.30
2021-11-03 11:08:40:	-14.19	-16.28	-20.00	-29.03
2021-11-03 11:09:01:	-14.28	-16.39	-20.00	-28.97
2021-11-03 11:09:21:	-14.44	-16.51	-20.00	-29.20
2021-11-03 11:09:42:	-14.44	-16.62	-20.00	-29.57
2021-11-03 11:10:02:	-14.55	-16.71	-20.00	-29.86
2021-11-03 11:10:24:	-14.65	-16.82	-20.00	-30.08
2021-11-03 11:10:45:	-14.75	-16.92	-20.00	-29.89
2021-11-03 11:11:06:	-14.89	-17.05	-20.00	-29.70
2021-11-03 11:11:26:	-15.01	-17.20	-20.00	-29.77
2021-11-03 11:11:46:	-15.11	-17.35	-20.00	-30.09
2021-11-03 11:12:07:	-15.24	-17.46	-20.00	-30.25
2021-11-03 11:12:28:	-15.33	-17.59	-20.00	-30.22
2021-11-03 11:12:49:	-15.48	-17.73	-20.00	-29.86
2021-11-03 11:13:09:	-15.55	-17.85	-20.00	-29.67
2021-11-03 11:13:29:	-15.68	-17.95	-20.00	-29.37
2021-11-03 11:13:50:	-15.80	-18.04	-20.00	-29.54
2021-11-03 11:14:10:	-15.89	-18.12	-20.00	-29.73
2021-11-03 11:14:31:	-15.97	-18.18	-20.00	-29.87
2021-11-03 11:14:51:	-16.00	-18.23	-20.00	-29.97
2021-11-03 11:15:11:	-16.13	-18.27	-20.00	-30.00
