			pt1000 - external - setpoint - internal
2021-11-10 08:53:13:	19.01	18.27	-20.00	10.39
2021-11-10 08:53:34:	18.78	18.01	-20.00	8.44
2021-11-10 08:53:55:	18.47	17.60	-20.00	6.57
2021-11-10 08:54:16:	18.05	17.06	-20.00	4.84
2021-11-10 08:54:37:	17.55	16.39	-20.00	3.11
2021-11-10 08:54:58:	16.97	15.63	-20.00	1.54
2021-11-10 08:55:19:	16.31	14.82	-20.00	-0.07
2021-11-10 08:55:39:	15.59	13.95	-20.00	-1.63
2021-11-10 08:56:00:	14.82	13.02	-20.00	-3.52
2021-11-10 08:56:21:	14.01	12.06	-20.00	-4.52
2021-11-10 08:56:42:	13.14	11.07	-20.00	-5.24
2021-11-10 08:57:03:	12.26	10.07	-20.00	-5.86
2021-11-10 08:57:23:	11.37	9.09	-20.00	-7.04
2021-11-10 08:57:44:	10.49	8.12	-20.00	-7.86
2021-11-10 08:58:05:	9.58	7.19	-20.00	-8.49
2021-11-10 08:58:25:	8.70	6.26	-20.00	-8.88
2021-11-10 08:58:46:	7.83	5.38	-20.00	-9.51
2021-11-10 08:59:07:	7.01	4.55	-20.00	-10.09
2021-11-10 08:59:28:	6.23	3.78	-20.00	-10.61
2021-11-10 08:59:48:	5.46	3.02	-20.00	-10.63
2021-11-10 09:00:09:	4.74	2.35	-20.00	-11.10
2021-11-10 09:00:30:	4.07	1.71	-20.00	-12.06
2021-11-10 09:00:51:	3.40	1.11	-20.00	-14.36
2021-11-10 09:01:11:	2.78	0.51	-20.00	-15.32
2021-11-10 09:01:32:	2.12	-0.10	-20.00	-15.76
2021-11-10 09:01:53:	1.50	-0.79	-20.00	-14.99
2021-11-10 09:02:14:	0.86	-1.43	-20.00	-14.99
2021-11-10 09:02:35:	0.26	-2.04	-20.00	-15.79
2021-11-10 09:02:56:	-0.33	-2.58	-20.00	-16.62
2021-11-10 09:03:17:	-0.86	-3.08	-20.00	-17.23
2021-11-10 09:03:37:	-1.38	-3.57	-20.00	-17.67
2021-11-10 09:03:58:	-1.88	-4.08	-20.00	-17.92
2021-11-10 09:04:19:	-2.38	-4.56	-20.00	-18.52
2021-11-10 09:04:39:	-2.85	-5.02	-20.00	-18.87
2021-11-10 09:05:00:	-3.31	-5.49	-20.00	-19.46
2021-11-10 09:05:21:	-3.78	-5.96	-20.00	-19.91
2021-11-10 09:05:41:	-4.21	-6.37	-20.00	-20.39
2021-11-10 09:06:02:	-4.65	-6.83	-20.00	-20.86
2021-11-10 09:06:22:	-5.11	-7.28	-20.00	-21.12
2021-11-10 09:06:43:	-5.55	-7.68	-20.00	-21.63
2021-11-10 09:07:03:	-5.91	-8.09	-20.00	-21.21
2021-11-10 09:07:24:	-6.34	-8.49	-20.00	-21.15
2021-11-10 09:07:45:	-6.68	-8.85	-20.00	-21.44
2021-11-10 09:08:06:	-7.06	-9.17	-20.00	-22.41
2021-11-10 09:08:28:	-7.41	-9.50	-20.00	-23.56
2021-11-10 09:08:48:	-7.73	-9.79	-20.00	-23.49
2021-11-10 09:09:09:	-8.00	-10.06	-20.00	-23.61
