			pt1000 - external - setpoint - internal
2021-11-02 09:33:57:	-18.36	-19.88	20.00	-30.81
2021-11-02 09:34:18:	-18.38	-19.90	20.00	-31.22
2021-11-02 09:34:39:	-18.39	-19.97	20.00	-29.19
2021-11-02 09:34:59:	-18.41	-19.97	20.00	-26.86
2021-11-02 09:35:20:	-18.47	-20.00	20.00	-21.26
2021-11-02 09:35:41:	-18.41	-19.96	20.00	-18.61
2021-11-02 09:36:01:	-18.23	-19.69	20.00	-18.84
2021-11-02 09:36:22:	-17.91	-19.18	20.00	-17.90
2021-11-02 09:36:43:	-17.51	-18.51	20.00	-15.66
2021-11-02 09:37:04:	-16.91	-17.77	20.00	-14.20
2021-11-02 09:37:25:	-16.34	-17.06	20.00	-10.46
2021-11-02 09:37:45:	-15.67	-16.27	20.00	-7.55
2021-11-02 09:38:06:	-14.88	-15.35	20.00	-4.64
2021-11-02 09:38:26:	-13.93	-14.29	20.00	-2.80
2021-11-02 09:38:47:	-12.95	-13.11	20.00	-1.21
2021-11-02 09:39:07:	-11.86	-11.80	20.00	-0.25
2021-11-02 09:39:28:	-10.65	-10.47	20.00	0.32
2021-11-02 09:39:48:	-9.46	-9.15	20.00	0.35
2021-11-02 09:40:09:	-8.26	-7.87	20.00	0.20
2021-11-02 09:40:30:	-7.08	-6.61	20.00	-0.25
2021-11-02 09:40:51:	-5.97	-5.51	20.00	-0.64
2021-11-02 09:41:11:	-4.93	-4.53	20.00	-0.76
2021-11-02 09:41:32:	-4.01	-3.69	20.00	-0.87
2021-11-02 09:41:52:	-3.18	-2.96	20.00	-0.76
2021-11-02 09:42:13:	-2.42	-2.31	20.00	-0.48
2021-11-02 09:42:35:	-1.70	-1.69	20.00	0.05
2021-11-02 09:42:55:	-1.08	-1.17	20.00	0.73
2021-11-02 09:43:16:	-0.51	-0.69	20.00	1.66
2021-11-02 09:43:37:	0.03	-0.21	20.00	2.69
2021-11-02 09:43:58:	0.57	0.31	20.00	3.82
2021-11-02 09:44:19:	1.09	0.83	20.00	4.80
2021-11-02 09:44:40:	1.63	1.37	20.00	5.60
2021-11-02 09:45:01:	2.21	1.97	20.00	6.31
2021-11-02 09:45:22:	2.77	2.57	20.00	7.01
2021-11-02 09:45:43:	3.37	3.20	20.00	7.56
2021-11-02 09:46:04:	3.95	3.82	20.00	7.93
2021-11-02 09:46:25:	4.58	4.45	20.00	8.31
2021-11-02 09:46:46:	5.18	5.10	20.00	8.58
2021-11-02 09:47:07:	5.78	5.72	20.00	8.81
2021-11-02 09:47:28:	6.37	6.32	20.00	8.72
2021-11-02 09:47:49:	6.93	6.85	20.00	8.61
2021-11-02 09:48:10:	7.45	7.37	20.00	8.79
2021-11-02 09:48:30:	7.92	7.80	20.00	8.92
2021-11-02 09:48:51:	8.36	8.20	20.00	9.03
2021-11-02 09:49:12:	8.76	8.57	20.00	9.18
2021-11-02 09:49:33:	9.12	8.90	20.00	9.43
2021-11-02 09:49:53:	9.46	9.21	20.00	9.73
2021-11-02 09:50:14:	9.78	9.49	20.00	10.08
2021-11-02 09:50:35:	10.08	9.77	20.00	10.44
2021-11-02 09:50:55:	10.35	10.06	20.00	10.82
2021-11-02 09:51:16:	10.65	10.33	20.00	11.25
2021-11-02 09:51:37:	10.92	10.63	20.00	11.60
2021-11-02 09:51:58:	11.17	10.92	20.00	11.98

 END: Keyboard Interrupt (or some other exception)

