			pt1000 - external - setpoint - internal
2021-11-01 12:57:03:	20.27	20.01	-20.00	18.31
2021-11-01 12:57:27:	20.30	20.02	-20.00	17.45
2021-11-01 12:57:48:	20.29	20.03	-20.00	16.23
2021-11-01 12:58:09:	20.26	19.98	-20.00	14.07
2021-11-01 12:58:29:	20.16	19.86	-20.00	11.30
2021-11-01 12:58:50:	19.97	19.62	-20.00	8.77
2021-11-01 12:59:11:	19.63	19.17	-20.00	6.78
2021-11-01 12:59:32:	19.15	18.56	-20.00	5.26
2021-11-01 12:59:52:	18.57	17.81	-20.00	3.52
2021-11-01 13:00:13:	17.89	16.98	-20.00	2.23
2021-11-01 13:00:34:	17.15	16.10	-20.00	1.06
2021-11-01 13:00:54:	16.36	15.19	-20.00	-0.45
2021-11-01 13:01:15:	15.53	14.24	-20.00	-2.22
2021-11-01 13:01:36:	14.66	13.27	-20.00	-3.70
2021-11-01 13:01:56:	13.78	12.28	-20.00	-4.69
2021-11-01 13:02:17:	12.88	11.30	-20.00	-5.02
2021-11-01 13:02:37:	11.98	10.31	-20.00	-6.09
2021-11-01 13:02:58:	11.08	9.34	-20.00	-6.61
2021-11-01 13:03:19:	10.20	8.41	-20.00	-8.12
2021-11-01 13:03:39:	9.32	7.52	-20.00	-8.59
2021-11-01 13:04:00:	8.46	6.65	-20.00	-9.53
2021-11-01 13:04:21:	7.62	5.77	-20.00	-10.21
2021-11-01 13:04:41:	6.79	4.94	-20.00	-10.84
2021-11-01 13:05:02:	6.00	4.16	-20.00	-10.94
2021-11-01 13:05:22:	5.23	3.37	-20.00	-11.24
2021-11-01 13:05:43:	4.50	2.64	-20.00	-11.41
2021-11-01 13:06:04:	3.81	1.98	-20.00	-12.52
2021-11-01 13:06:25:	3.14	1.34	-20.00	-14.57
2021-11-01 13:06:45:	2.52	0.71	-20.00	-15.01
2021-11-01 13:07:06:	1.89	0.10	-20.00	-15.27
2021-11-01 13:07:27:	1.25	-0.57	-20.00	-15.38
2021-11-01 13:07:48:	0.63	-1.18	-20.00	-15.83
2021-11-01 13:08:09:	0.05	-1.76	-20.00	-16.27
2021-11-01 13:08:30:	-0.51	-2.29	-20.00	-16.84
2021-11-01 13:08:50:	-1.02	-2.76	-20.00	-17.24
2021-11-01 13:09:11:	-1.49	-3.25	-20.00	-17.66
2021-11-01 13:09:31:	-2.00	-3.71	-20.00	-18.13
2021-11-01 13:09:52:	-2.46	-4.20	-20.00	-18.89
2021-11-01 13:10:12:	-2.93	-4.70	-20.00	-20.65
2021-11-01 13:10:33:	-3.40	-5.21	-20.00	-21.61
2021-11-01 13:10:53:	-3.93	-5.70	-20.00	-21.79
2021-11-01 13:11:14:	-4.37	-6.19	-20.00	-20.23
2021-11-01 13:11:34:	-4.86	-6.69	-20.00	-20.53
2021-11-01 13:11:55:	-5.30	-7.16	-20.00	-20.96
2021-11-01 13:12:15:	-5.71	-7.53	-20.00	-21.68
2021-11-01 13:12:35:	-6.07	-7.91	-20.00	-21.78
2021-11-01 13:12:56:	-6.43	-8.23	-20.00	-21.99
2021-11-01 13:13:17:	-6.79	-8.55	-20.00	-22.24
2021-11-01 13:13:37:	-7.10	-8.88	-20.00	-23.16
