			pt1000 - external - setpoint - internal
2021-11-01 12:31:34:	-999.00	20.10	20.00	18.85
2021-11-01 12:31:50:	-999.00	20.11	20.00	18.89
2021-11-01 12:32:03:	-999.00	20.12	20.00	18.89
2021-11-01 12:32:16:	-999.00	20.14	20.00	18.91
2021-11-01 12:32:29:	-999.00	20.15	20.00	18.90
2021-11-01 12:32:42:	-999.00	20.19	20.00	18.85
2021-11-01 12:32:55:	-999.00	20.22	20.00	18.81
2021-11-01 12:33:08:	-999.00	20.23	20.00	18.77
2021-11-01 12:33:21:	-999.00	20.25	20.00	18.69
2021-11-01 12:33:34:	-999.00	20.26	20.00	18.62
2021-11-01 12:33:47:	-999.00	20.29	20.00	18.55
2021-11-01 12:34:00:	-999.00	20.30	20.00	18.48
2021-11-01 12:34:13:	-999.00	20.31	20.00	18.40
2021-11-01 12:34:26:	-999.00	20.32	20.00	18.36
2021-11-01 12:34:39:	-999.00	20.32	20.00	18.29
2021-11-01 12:34:52:	-999.00	20.32	20.00	18.24
2021-11-01 12:35:05:	-999.00	20.30	20.00	18.20
2021-11-01 12:35:18:	-999.00	20.27	20.00	18.17
2021-11-01 12:35:31:	-999.00	20.25	20.00	18.15
2021-11-01 12:35:44:	-999.00	20.21	20.00	18.13
2021-11-01 12:35:57:	-999.00	20.18	20.00	18.16
2021-11-01 12:36:10:	-999.00	20.15	20.00	18.17
2021-11-01 12:36:23:	-999.00	20.11	20.00	18.24
2021-11-01 12:36:36:	-999.00	20.10	20.00	18.29
2021-11-01 12:36:49:	-999.00	20.08	20.00	18.37
2021-11-01 12:37:02:	-999.00	20.06	20.00	18.45
2021-11-01 12:37:15:	-999.00	20.06	20.00	18.52
2021-11-01 12:37:28:	-999.00	20.06	20.00	18.55
2021-11-01 12:37:41:	-999.00	20.06	20.00	18.59
2021-11-01 12:37:54:	-999.00	20.08	20.00	18.62
2021-11-01 12:38:07:	-999.00	20.12	20.00	18.63
2021-11-01 12:38:20:	-999.00	20.18	20.00	18.65
2021-11-01 12:38:33:	-999.00	20.28	20.00	18.60
2021-11-01 12:38:46:	-999.00	20.37	20.00	18.54
2021-11-01 12:38:59:	-999.00	20.42	20.00	18.40
2021-11-01 12:39:12:	-999.00	20.41	20.00	18.27
2021-11-01 12:39:25:	-999.00	20.41	20.00	18.11
2021-11-01 12:39:38:	-999.00	20.39	20.00	17.95
2021-11-01 12:39:51:	-999.00	20.35	20.00	17.84
2021-11-01 12:40:05:	-999.00	20.29	20.00	17.75

 END: Keyboard Interrupt (or some other exception)

