			pt1000 - external - setpoint - internal
2021-11-04 09:28:46:	14.30	13.96	15.00	13.16
2021-11-04 09:29:07:	14.42	14.06	15.00	12.93
2021-11-04 09:29:28:	14.57	14.24	15.00	12.73
2021-11-04 09:29:49:	14.67	14.37	15.00	12.57
2021-11-04 09:30:10:	14.76	14.41	15.00	12.41
2021-11-04 09:30:30:	14.82	14.47	15.00	12.32
2021-11-04 09:30:51:	14.85	14.49	15.00	12.13
2021-11-04 09:31:12:	14.87	14.49	15.00	11.95
2021-11-04 09:31:33:	14.90	14.47	15.00	11.94
2021-11-04 09:31:53:	14.90	14.44	15.00	11.98
2021-11-04 09:32:13:	14.87	14.43	15.00	11.99
2021-11-04 09:32:34:	14.86	14.40	15.00	12.03
2021-11-04 09:32:55:	14.85	14.38	15.00	12.09
2021-11-04 09:33:15:	14.84	14.40	15.00	12.22
2021-11-04 09:33:36:	14.83	14.45	15.00	12.28
2021-11-04 09:33:57:	14.84	14.50	15.00	12.26
2021-11-04 09:34:17:	14.84	14.50	15.00	12.23
2021-11-04 09:34:39:	14.85	14.50	15.00	12.17
2021-11-04 09:35:00:	14.85	14.49	15.00	12.12
2021-11-04 09:35:21:	14.86	14.50	15.00	12.17
2021-11-04 09:35:42:	14.86	14.49	15.00	12.22
2021-11-04 09:36:03:	14.86	14.47	15.00	12.30
2021-11-04 09:36:25:	14.86	14.45	15.00	12.35
2021-11-04 09:36:46:	14.86	14.45	15.00	12.42
2021-11-04 09:37:07:	14.87	14.46	15.00	12.55
2021-11-04 09:37:28:	14.88	14.51	15.00	12.59
2021-11-04 09:37:49:	14.89	14.53	15.00	12.68
2021-11-04 09:38:11:	14.92	14.55	15.00	12.64
2021-11-04 09:38:32:	14.94	14.56	15.00	12.63
2021-11-04 09:38:54:	14.97	14.59	15.00	12.57
2021-11-04 09:39:15:	14.99	14.62	15.00	12.56
2021-11-04 09:39:36:	15.01	14.65	15.00	12.56
2021-11-04 09:39:59:	15.04	14.67	-20.00	12.30
2021-11-04 09:40:20:	15.04	14.69	-20.00	11.32
2021-11-04 09:40:41:	15.04	14.67	-20.00	10.02
2021-11-04 09:41:02:	15.01	14.63	-20.00	7.62
2021-11-04 09:41:23:	14.89	14.50	-20.00	4.85
2021-11-04 09:41:43:	14.69	14.24	-20.00	2.40
