			pt1000 - external - setpoint - internal
2022-01-25 09:40:34:	17.45	16.68	15.00	14.03
2022-01-25 09:40:57:	17.41	16.60	15.00	14.01
2022-01-25 09:41:18:	17.34	16.55	15.00	14.00
2022-01-25 09:41:40:	17.28	16.47	15.00	13.96
2022-01-25 09:42:01:	17.22	16.42	15.00	13.98
2022-01-25 09:42:22:	17.16	16.36	15.00	14.00
2022-01-25 09:42:43:	17.11	16.32	15.00	14.02
2022-01-25 09:43:05:	17.07	16.28	15.00	14.02
2022-01-25 09:43:27:	17.02	16.24	15.00	13.97
2022-01-25 09:43:48:	17.00	16.23	15.00	13.91
2022-01-25 09:44:10:	16.96	16.22	15.00	13.88
2022-01-25 09:44:31:	16.93	16.19	15.00	13.80
2022-01-25 09:44:53:	16.89	16.15	15.00	13.70
2022-01-25 09:45:14:	16.85	16.11	15.00	13.64
2022-01-25 09:45:35:	16.82	16.09	15.00	13.59
2022-01-25 09:45:57:	16.81	16.05	15.00	13.54
2022-01-25 09:46:18:	16.75	16.01	15.00	13.52
2022-01-25 09:46:39:	16.71	15.97	15.00	13.51
2022-01-25 09:47:00:	16.66	15.92	15.00	13.46
2022-01-25 09:47:22:	16.62	15.89	15.00	13.45
2022-01-25 09:47:43:	16.59	15.85	15.00	13.46
2022-01-25 09:48:04:	16.56	15.81	15.00	13.47
2022-01-25 09:48:26:	16.52	15.79	15.00	13.47
2022-01-25 09:48:47:	16.49	15.76	15.00	13.46
2022-01-25 09:49:08:	16.47	15.74	15.00	13.44
2022-01-25 09:49:30:	16.44	15.71	15.00	13.41
2022-01-25 09:49:52:	16.42	15.71	15.00	13.40
2022-01-25 09:50:13:	16.40	15.69	15.00	13.37
2022-01-25 09:50:34:	16.38	15.64	15.00	13.35
2022-01-25 09:50:55:	16.36	15.63	15.00	13.28

 END: Keyboard Interrupt (or some other exception)

