			pt1000 - external - setpoint - internal
2021-11-02 10:44:44:	16.30	15.34	-20.00	0.47
2021-11-02 10:45:05:	15.56	14.41	-20.00	-1.79
2021-11-02 10:45:27:	14.74	13.46	-20.00	-3.45
2021-11-02 10:45:48:	13.84	12.42	-20.00	-4.28
2021-11-02 10:46:10:	12.89	11.35	-20.00	-4.84
2021-11-02 10:46:31:	11.95	10.31	-20.00	-5.80
2021-11-02 10:46:53:	10.99	9.26	-20.00	-6.58
2021-11-02 10:47:14:	10.08	8.29	-20.00	-6.91
2021-11-02 10:47:34:	9.17	7.36	-20.00	-8.25
2021-11-02 10:47:59:	8.15	6.29	-20.00	-9.16
2021-11-02 10:48:19:	7.30	5.44	-20.00	-9.57
2021-11-02 10:48:40:	6.48	4.62	-20.00	-10.01
2021-11-02 10:49:01:	5.71	3.86	-20.00	-10.63
2021-11-02 10:49:21:	4.95	3.12	-20.00	-11.01
2021-11-02 10:49:42:	4.28	2.44	-20.00	-10.81
2021-11-02 10:50:03:	3.60	1.82	-20.00	-11.50
2021-11-02 10:50:23:	2.97	1.19	-20.00	-14.01
2021-11-02 10:50:44:	2.34	0.58	-20.00	-15.89
2021-11-02 10:51:05:	1.72	-0.02	-20.00	-16.16
2021-11-02 10:51:26:	1.08	-0.66	-20.00	-15.48
2021-11-02 10:51:46:	0.45	-1.32	-20.00	-14.45
2021-11-02 10:52:08:	-0.13	-1.96	-20.00	-14.91
2021-11-02 10:52:28:	-0.71	-2.47	-20.00	-17.06
2021-11-02 10:52:49:	-1.22	-2.96	-20.00	-17.72
2021-11-02 10:53:09:	-1.73	-3.45	-20.00	-18.19
2021-11-02 10:53:30:	-2.25	-3.92	-20.00	-19.17
2021-11-02 10:53:50:	-2.72	-4.44	-20.00	-19.47
2021-11-02 10:54:11:	-3.23	-4.93	-20.00	-18.04
2021-11-02 10:54:32:	-3.67	-5.41	-20.00	-17.80
2021-11-02 10:54:52:	-4.12	-5.83	-20.00	-20.32
2021-11-02 10:55:13:	-4.53	-6.20	-20.00	-20.01
2021-11-02 10:55:33:	-4.91	-6.57	-20.00	-20.77
2021-11-02 10:55:54:	-5.33	-6.96	-20.00	-21.52
2021-11-02 10:56:15:	-5.75	-7.39	-20.00	-21.85
2021-11-02 10:56:35:	-6.16	-7.82	-20.00	-22.18
2021-11-02 10:56:56:	-6.53	-8.24	-20.00	-22.40
2021-11-02 10:57:17:	-6.93	-8.64	-20.00	-22.55
2021-11-02 10:57:37:	-7.31	-9.04	-20.00	-22.20
2021-11-02 10:57:58:	-7.70	-9.34	-20.00	-21.78
2021-11-02 10:58:18:	-8.07	-9.67	-20.00	-23.06
2021-11-02 10:58:39:	-8.37	-10.01	-20.00	-24.03
2021-11-02 10:58:59:	-8.70	-10.36	-20.00	-24.16
2021-11-02 10:59:20:	-9.04	-10.65	-20.00	-24.40
2021-11-02 10:59:40:	-9.36	-10.96	-20.00	-23.93
2021-11-02 11:00:01:	-9.64	-11.28	-20.00	-23.37
2021-11-02 11:00:22:	-9.94	-11.55	-20.00	-23.19
2021-11-02 11:00:42:	-10.23	-11.79	-20.00	-25.23
