			pt1000 - external - setpoint - internal
2021-11-09 11:07:40:	13.32	12.67	15.00	11.75
2021-11-09 11:08:01:	13.48	12.83	15.00	11.79
2021-11-09 11:08:22:	13.59	12.96	15.00	11.84
2021-11-09 11:08:43:	13.72	13.11	15.00	11.90
2021-11-09 11:09:03:	13.81	13.21	15.00	11.95
2021-11-09 11:09:24:	13.95	13.31	15.00	12.00
2021-11-09 11:09:45:	14.04	13.40	15.00	12.06
2021-11-09 11:10:05:	14.13	13.47	15.00	12.12
2021-11-09 11:10:26:	14.23	13.56	15.00	12.18
2021-11-09 11:10:47:	14.31	13.64	15.00	12.22
2021-11-09 11:11:08:	14.39	13.72	15.00	12.24
2021-11-09 11:11:29:	14.47	13.81	15.00	12.09
2021-11-09 11:11:49:	14.54	13.90	15.00	11.63
2021-11-09 11:12:10:	14.61	13.97	15.00	12.52
2021-11-09 11:12:31:	14.66	13.98	15.00	13.06
2021-11-09 11:12:52:	14.72	14.04	15.00	13.01
2021-11-09 11:13:13:	14.80	14.10	15.00	12.77
2021-11-09 11:13:35:	14.88	14.19	15.00	12.54
2021-11-09 11:13:56:	14.96	14.28	15.00	12.59
2021-11-09 11:14:17:	15.03	14.34	15.00	12.53
2021-11-09 11:14:38:	15.08	14.38	15.00	12.42
2021-11-09 11:15:00:	15.13	14.41	15.00	12.36
2021-11-09 11:15:21:	15.17	14.45	15.00	12.38
2021-11-09 11:15:42:	15.18	14.46	15.00	12.33
2021-11-09 11:16:04:	15.20	14.48	15.00	12.21
2021-11-09 11:16:25:	15.21	14.48	15.00	12.17
2021-11-09 11:16:46:	15.22	14.47	15.00	12.18
2021-11-09 11:17:07:	15.21	14.45	15.00	12.19
2021-11-09 11:17:28:	15.21	14.45	-20.00	12.18
2021-11-09 11:17:49:	15.20	14.43	-20.00	11.24
2021-11-09 11:18:10:	15.19	14.41	-20.00	10.28
2021-11-09 11:18:31:	15.15	14.37	-20.00	8.03
2021-11-09 11:18:52:	15.06	14.24	-20.00	5.42
2021-11-09 11:19:13:	14.90	14.01	-20.00	3.12
2021-11-09 11:19:33:	14.62	13.60	-20.00	1.04
2021-11-09 11:19:54:	14.23	13.04	-20.00	-0.88
2021-11-09 11:20:15:	13.73	12.36	-20.00	-2.97
2021-11-09 11:20:36:	13.13	11.55	-20.00	-4.20
2021-11-09 11:20:57:	12.45	10.67	-20.00	-5.88
2021-11-09 11:21:18:	11.68	9.71	-20.00	-7.27
2021-11-09 11:21:39:	10.86	8.74	-20.00	-8.29
2021-11-09 11:22:00:	10.01	7.73	-20.00	-9.07
2021-11-09 11:22:20:	9.12	6.74	-20.00	-9.26
2021-11-09 11:22:41:	8.25	5.75	-20.00	-9.87
2021-11-09 11:23:02:	7.35	4.82	-20.00	-10.65
2021-11-09 11:23:23:	6.49	3.91	-20.00	-10.80
2021-11-09 11:23:43:	5.67	3.10	-20.00	-10.85
2021-11-09 11:24:04:	4.90	2.32	-20.00	-11.20
2021-11-09 11:24:25:	4.15	1.64	-20.00	-11.26
2021-11-09 11:24:46:	3.49	1.05	-20.00	-11.36
2021-11-09 11:25:06:	2.85	0.49	-20.00	-11.97
2021-11-09 11:25:27:	2.30	-0.01	-20.00	-14.50
2021-11-09 11:25:48:	1.74	-0.50	-20.00	-16.14
2021-11-09 11:26:09:	1.21	-1.04	-20.00	-16.46
2021-11-09 11:26:30:	0.65	-1.60	-20.00	-16.63
2021-11-09 11:26:50:	0.10	-2.17	-20.00	-15.64
2021-11-09 11:27:11:	-0.45	-2.74	-20.00	-15.88
2021-11-09 11:27:32:	-0.98	-3.25	-20.00	-16.64
2021-11-09 11:27:52:	-1.48	-3.70	-20.00	-18.17
2021-11-09 11:28:13:	-1.92	-4.16	-20.00	-19.53
2021-11-09 11:28:33:	-2.36	-4.64	-20.00	-19.90
2021-11-09 11:28:54:	-2.89	-5.14	-20.00	-20.87
2021-11-09 11:29:14:	-3.34	-5.63	-20.00	-19.41
2021-11-09 11:29:35:	-3.82	-6.13	-20.00	-18.76
2021-11-09 11:29:55:	-4.29	-6.60	-20.00	-19.93
2021-11-09 11:30:16:	-4.69	-6.99	-20.00	-21.22
2021-11-09 11:30:37:	-5.07	-7.36	-20.00	-21.72
2021-11-09 11:30:58:	-5.48	-7.72	-20.00	-21.85
2021-11-09 11:31:18:	-5.86	-8.11	-20.00	-22.40
2021-11-09 11:31:39:	-6.25	-8.49	-20.00	-22.33
2021-11-09 11:32:00:	-6.63	-8.88	-20.00	-21.83
2021-11-09 11:32:20:	-6.95	-9.23	-20.00	-21.92
2021-11-09 11:32:40:	-7.28	-9.54	-20.00	-23.01
2021-11-09 11:33:01:	-7.62	-9.84	-20.00	-23.98
2021-11-09 11:33:21:	-7.96	-10.12	-20.00	-24.14
2021-11-09 11:33:42:	-8.29	-10.45	-20.00	-24.16
2021-11-09 11:34:04:	-8.58	-10.79	-20.00	-23.41
2021-11-09 11:34:24:	-8.90	-11.13	-20.00	-23.05
2021-11-09 11:34:45:	-9.20	-11.43	-20.00	-24.94
2021-11-09 11:35:06:	-9.51	-11.74	-20.00	-24.45
2021-11-09 11:35:27:	-9.80	-11.99	-20.00	-25.29
2021-11-09 11:35:47:	-10.09	-12.28	-20.00	-25.92
2021-11-09 11:36:08:	-10.41	-12.57	-20.00	-25.91
2021-11-09 11:36:28:	-10.64	-12.87	-20.00	-25.43
2021-11-09 11:36:49:	-10.92	-13.17	-20.00	-24.88
2021-11-09 11:37:10:	-11.18	-13.44	-20.00	-24.48
2021-11-09 11:37:30:	-11.42	-13.62	-20.00	-24.86
2021-11-09 11:37:50:	-11.62	-13.79	-20.00	-25.46
2021-11-09 11:38:11:	-11.86	-13.97	-20.00	-26.18
2021-11-09 11:38:32:	-12.04	-14.09	-20.00	-26.40
2021-11-09 11:38:52:	-12.21	-14.30	-20.00	-27.15
2021-11-09 11:39:13:	-12.37	-14.49	-20.00	-27.33
