			pt1000 - external - setpoint - internal
2021-11-01 12:44:07:	20.29	20.11	20.00	18.43
2021-11-01 12:44:28:	20.33	20.13	20.00	18.35
2021-11-01 12:44:49:	20.34	20.13	20.00	18.24
2021-11-01 12:45:10:	20.36	20.13	20.00	18.17
2021-11-01 12:45:30:	20.37	20.12	20.00	18.12
2021-11-01 12:45:51:	20.36	20.11	20.00	18.11
2021-11-01 12:46:15:	20.34	20.09	20.00	18.09
2021-11-01 12:46:35:	20.34	20.08	20.00	18.11
2021-11-01 12:46:56:	20.33	20.05	20.00	18.14
2021-11-01 12:47:17:	20.32	20.03	20.00	18.18
2021-11-01 12:47:38:	20.31	20.02	20.00	18.22
2021-11-01 12:47:59:	20.30	20.00	20.00	18.28
2021-11-01 12:48:20:	20.30	19.99	20.00	18.34
2021-11-01 12:48:41:	20.29	20.00	20.00	18.35
2021-11-01 12:49:02:	20.29	20.02	20.00	18.38
2021-11-01 12:49:23:	20.29	20.01	20.00	18.36
2021-11-01 12:49:43:	20.30	20.01	20.00	18.35
2021-11-01 12:50:04:	20.31	20.02	20.00	18.35
2021-11-01 12:50:25:	20.31	20.03	20.00	18.33
2021-11-01 12:50:45:	20.32	20.04	20.00	18.30
2021-11-01 12:51:06:	20.32	20.04	20.00	18.29
2021-11-01 12:51:27:	20.32	20.04	20.00	18.27
2021-11-01 12:51:48:	20.32	20.05	20.00	18.26
2021-11-01 12:52:09:	20.32	20.04	20.00	18.25
2021-11-01 12:52:30:	20.32	20.04	20.00	18.23
2021-11-01 12:52:51:	20.31	20.04	20.00	18.26
2021-11-01 12:53:12:	20.31	20.02	20.00	18.24
2021-11-01 12:53:34:	20.30	20.01	20.00	18.22
2021-11-01 12:53:55:	20.29	20.00	20.00	18.27
2021-11-01 12:54:16:	20.29	20.00	20.00	18.27
2021-11-01 12:54:37:	20.28	19.99	20.00	18.30
2021-11-01 12:54:58:	20.28	19.99	20.00	18.32
2021-11-01 12:55:19:	20.28	20.01	20.00	18.31
2021-11-01 12:55:40:	20.28	20.00	20.00	18.30
2021-11-01 12:56:01:	20.28	20.01	20.00	18.33
2021-11-01 12:56:23:	20.28	20.02	20.00	18.31
2021-11-01 12:56:44:	20.28	20.01	20.00	18.31

 END: Keyboard Interrupt (or some other exception)

