			pt1000 - external - setpoint - internal
2023-09-04 16:35:58:	17.33	16.64	15.00	14.41
2023-09-04 16:36:19:	17.44	16.66	15.00	13.98
2023-09-04 16:36:40:	17.40	16.67	15.00	13.56
2023-09-04 16:37:01:	17.32	16.61	15.00	13.27
2023-09-04 16:37:21:	17.29	16.59	15.00	13.02
2023-09-04 16:37:42:	17.12	16.43	15.00	12.94
2023-09-04 16:38:03:	17.06	16.27	15.00	12.96
2023-09-04 16:38:23:	16.92	16.13	15.00	13.31
2023-09-04 16:38:44:	16.81	16.00	15.00	13.52
2023-09-04 16:39:05:	16.70	15.86	15.00	13.59
2023-09-04 16:39:26:	16.58	15.76	15.00	13.67
2023-09-04 16:39:47:	16.49	15.68	-20.00	13.65
2023-09-04 16:40:08:	16.41	15.63	-20.00	12.53
2023-09-04 16:40:29:	16.35	15.59	-20.00	11.30
2023-09-04 16:40:50:	16.25	15.51	-20.00	9.42
2023-09-04 16:41:11:	16.10	15.36	-20.00	6.93
2023-09-04 16:41:32:	15.86	15.11	-20.00	4.61
2023-09-04 16:41:54:	15.51	14.71	-20.00	2.59
2023-09-04 16:42:15:	15.04	14.16	-20.00	0.27
2023-09-04 16:42:36:	14.45	13.47	-20.00	-1.45
2023-09-04 16:42:57:	13.76	12.68	-20.00	-2.98
2023-09-04 16:43:19:	12.97	11.78	-20.00	-4.29
2023-09-04 16:43:40:	12.12	10.83	-20.00	-6.39
2023-09-04 16:44:01:	11.18	9.81	-20.00	-7.22
2023-09-04 16:44:22:	10.25	8.80	-20.00	-8.75
2023-09-04 16:44:43:	9.30	7.77	-20.00	-9.90
2023-09-04 16:45:04:	8.33	6.76	-20.00	-10.22
2023-09-04 16:45:25:	7.33	5.75	-20.00	-8.98
2023-09-04 16:45:45:	6.44	4.82	-20.00	-8.80
2023-09-04 16:46:06:	5.57	3.99	-20.00	-9.56
2023-09-04 16:46:27:	4.76	3.23	-20.00	-10.90
2023-09-04 16:46:48:	4.03	2.54	-20.00	-11.87
2023-09-04 16:47:09:	3.34	1.89	-20.00	-12.26
2023-09-04 16:47:29:	2.61	1.24	-20.00	-12.79
2023-09-04 16:47:50:	1.97	0.60	-20.00	-13.11
2023-09-04 16:48:11:	1.33	0.00	-20.00	-13.56
2023-09-04 16:48:32:	0.76	-0.55	-20.00	-14.11
2023-09-04 16:48:53:	0.17	-1.09	-20.00	-14.24
2023-09-04 16:49:13:	-0.38	-1.64	-20.00	-15.84
2023-09-04 16:49:34:	-0.94	-2.15	-20.00	-16.99
2023-09-04 16:49:55:	-1.47	-2.68	-20.00	-17.86
2023-09-04 16:50:15:	-2.04	-3.23	-20.00	-18.08
2023-09-04 16:50:36:	-2.62	-3.80	-20.00	-18.42
2023-09-04 16:50:57:	-3.09	-4.39	-20.00	-19.03
2023-09-04 16:51:18:	-3.70	-4.95	-20.00	-17.75
2023-09-04 16:51:38:	-4.23	-5.47	-20.00	-17.99
2023-09-04 16:51:59:	-4.71	-5.94	-20.00	-19.13
2023-09-04 16:52:19:	-5.17	-6.41	-20.00	-20.06
2023-09-04 16:52:40:	-5.64	-6.82	-20.00	-20.10
2023-09-04 16:53:00:	-6.05	-7.21	-20.00	-20.39
2023-09-04 16:53:21:	-6.50	-7.62	-20.00	-19.85
2023-09-04 16:53:42:	-6.92	-8.00	-20.00	-18.92
2023-09-04 16:54:02:	-7.35	-8.38	-20.00	-21.35
2023-09-04 16:54:23:	-7.71	-8.75	-20.00	-23.01
2023-09-04 16:54:44:	-8.06	-9.11	-20.00	-23.15
2023-09-04 16:55:05:	-8.37	-9.51	-20.00	-21.46
2023-09-04 16:55:26:	-8.83	-9.90	-20.00	-21.36
2023-09-04 16:55:47:	-9.19	-10.24	-20.00	-20.43
2023-09-04 16:56:08:	-9.51	-10.57	-20.00	-21.60
2023-09-04 16:56:28:	-9.81	-10.84	-20.00	-23.95
2023-09-04 16:56:49:	-10.12	-11.06	-20.00	-24.52
2023-09-04 16:57:09:	-10.38	-11.32	-20.00	-24.06
2023-09-04 16:57:30:	-10.66	-11.58	-20.00	-23.36
2023-09-04 16:57:50:	-10.93	-11.85	-20.00	-23.05
2023-09-04 16:58:11:	-11.13	-12.09	-20.00	-23.44
2023-09-04 16:58:32:	-11.38	-12.28	-20.00	-23.91
2023-09-04 16:58:53:	-11.61	-12.45	-20.00	-24.87
2023-09-04 16:59:13:	-11.79	-12.64	-20.00	-25.68
2023-09-04 16:59:34:	-11.89	-12.80	-20.00	-26.03
