			pt1000 - external - setpoint - internal
2021-11-05 09:37:05:	18.03	17.63	15.00	16.85
2021-11-05 09:37:26:	18.13	17.73	15.00	16.92
2021-11-05 09:37:47:	18.21	17.82	15.00	16.96
2021-11-05 09:38:07:	18.28	17.88	15.00	16.99
2021-11-05 09:38:28:	18.36	17.95	15.00	16.99
2021-11-05 09:38:48:	18.44	18.01	15.00	16.99
2021-11-05 09:39:09:	18.52	18.07	15.00	16.90
2021-11-05 09:39:30:	18.57	18.14	15.00	16.13
2021-11-05 09:39:51:	18.61	18.18	15.00	16.71
2021-11-05 09:40:11:	18.63	18.21	15.00	17.12
2021-11-05 09:40:32:	18.63	18.21	15.00	17.08
2021-11-05 09:40:53:	18.65	18.22	15.00	16.90
2021-11-05 09:41:13:	18.68	18.29	15.00	16.53
2021-11-05 09:41:34:	18.70	18.33	15.00	16.37
2021-11-05 09:41:55:	18.72	18.34	15.00	15.92
2021-11-05 09:42:15:	18.69	18.33	15.00	15.52
2021-11-05 09:42:36:	18.67	18.28	15.00	15.25
2021-11-05 09:42:57:	18.61	18.20	15.00	14.95
2021-11-05 09:43:18:	18.52	18.08	15.00	14.78
2021-11-05 09:43:39:	18.42	17.94	15.00	14.52
2021-11-05 09:44:01:	18.30	17.79	15.00	14.30
2021-11-05 09:44:22:	18.17	17.63	15.00	14.25
2021-11-05 09:44:43:	18.03	17.48	15.00	14.34
2021-11-05 09:45:04:	17.89	17.33	15.00	14.45
2021-11-05 09:45:25:	17.76	17.19	15.00	14.55
2021-11-05 09:45:47:	17.64	17.07	15.00	14.62
2021-11-05 09:46:08:	17.54	16.98	15.00	14.66
2021-11-05 09:46:29:	17.46	16.90	15.00	14.65
2021-11-05 09:46:51:	17.38	16.84	15.00	14.58
2021-11-05 09:47:12:	17.32	16.81	15.00	14.55
2021-11-05 09:47:33:	17.26	16.77	15.00	14.48
2021-11-05 09:47:54:	17.21	16.72	15.00	14.37
2021-11-05 09:48:15:	17.16	16.69	15.00	14.26
