			pt1000 - external - setpoint - internal
2022-02-25 17:25:55:	24.08	0.00	0.00	0.00
2022-02-25 17:26:14:	24.07	0.00	0.00	0.00
2022-02-25 17:26:32:	24.07	0.00	0.00	0.00
2022-02-25 17:26:50:	24.06	0.00	0.00	0.00
2022-02-25 17:27:09:	24.06	0.00	0.00	0.00
2022-02-25 17:27:27:	24.06	0.00	0.00	0.00
2022-02-25 17:27:45:	24.05	0.00	0.00	0.00
2022-02-25 17:28:04:	24.05	0.00	0.00	0.00
2022-02-25 17:28:22:	24.05	0.00	0.00	0.00
2022-02-25 17:28:40:	24.04	0.00	0.00	0.00
2022-02-25 17:28:58:	24.04	0.00	0.00	0.00
2022-02-25 17:29:16:	24.04	0.00	0.00	0.00
2022-02-25 17:29:35:	24.04	0.00	0.00	0.00
2022-02-25 17:29:53:	24.03	0.00	0.00	0.00
2022-02-25 17:30:11:	24.03	0.00	0.00	0.00
2022-02-25 17:30:29:	24.03	0.00	0.00	0.00
2022-02-25 17:30:47:	24.02	0.00	0.00	0.00
2022-02-25 17:31:05:	24.02	0.00	0.00	0.00
2022-02-25 17:31:24:	24.02	0.00	0.00	0.00
2022-02-25 17:31:42:	24.01	0.00	0.00	0.00
2022-02-25 17:32:00:	24.01	0.00	0.00	0.00
2022-02-25 17:32:18:	24.01	0.00	0.00	0.00
2022-02-25 17:32:36:	24.00	0.00	0.00	0.00
2022-02-25 17:32:55:	24.00	0.00	0.00	0.00
2022-02-25 17:33:13:	24.00	0.00	0.00	0.00
2022-02-25 17:33:31:	24.00	0.00	0.00	0.00
2022-02-25 17:33:49:	23.99	0.00	0.00	0.00
2022-02-25 17:34:07:	23.99	0.00	0.00	0.00
2022-02-25 17:34:25:	23.99	0.00	0.00	0.00
2022-02-25 17:34:44:	23.99	0.00	0.00	0.00
2022-02-25 17:35:03:	23.98	0.00	0.00	0.00
2022-02-25 17:35:21:	23.98	0.00	0.00	0.00
2022-02-25 17:35:40:	23.98	0.00	0.00	0.00
2022-02-25 17:35:59:	23.97	0.00	0.00	0.00
2022-02-25 17:36:18:	23.97	0.00	0.00	0.00
2022-02-25 17:36:36:	23.97	0.00	0.00	0.00
2022-02-25 17:36:55:	23.96	0.00	0.00	0.00
2022-02-25 17:37:13:	23.96	0.00	0.00	0.00
2022-02-25 17:37:32:	23.96	0.00	0.00	0.00
2022-02-25 17:37:51:	23.95	0.00	0.00	0.00
2022-02-25 17:38:09:	23.95	0.00	0.00	0.00
2022-02-25 17:38:28:	23.95	0.00	0.00	0.00
2022-02-25 17:38:47:	23.95	0.00	0.00	0.00
2022-02-25 17:39:05:	23.94	0.00	0.00	0.00
2022-02-25 17:39:24:	23.94	0.00	0.00	0.00
2022-02-25 17:39:43:	23.94	0.00	0.00	0.00
2022-02-25 17:40:01:	23.94	0.00	0.00	0.00
2022-02-25 17:40:19:	23.93	0.00	0.00	0.00
2022-02-25 17:40:38:	23.93	0.00	0.00	0.00
2022-02-25 17:40:57:	23.93	0.00	0.00	0.00
2022-02-25 17:41:15:	23.92	0.00	0.00	0.00
2022-02-25 17:41:34:	23.92	0.00	0.00	0.00
2022-02-25 17:41:52:	23.92	0.00	0.00	0.00
2022-02-25 17:42:11:	23.91	0.00	0.00	0.00
2022-02-25 17:42:29:	23.91	0.00	0.00	0.00
2022-02-25 17:42:47:	23.91	0.00	0.00	0.00
2022-02-25 17:43:06:	23.91	0.00	0.00	0.00
2022-02-25 17:43:24:	23.90	0.00	0.00	0.00
2022-02-25 17:43:42:	23.90	0.00	0.00	0.00
2022-02-25 17:44:01:	23.90	0.00	0.00	0.00
2022-02-25 17:44:19:	23.89	0.00	0.00	0.00
2022-02-25 17:44:38:	23.89	0.00	0.00	0.00
2022-02-25 17:44:56:	23.89	0.00	0.00	0.00
2022-02-25 17:45:14:	23.89	0.00	0.00	0.00
2022-02-25 17:45:33:	23.88	0.00	0.00	0.00
2022-02-25 17:45:51:	23.88	0.00	0.00	0.00
2022-02-25 17:46:10:	23.88	0.00	0.00	0.00
2022-02-25 17:46:28:	23.88	0.00	0.00	0.00
2022-02-25 17:46:47:	23.87	0.00	0.00	0.00
2022-02-25 17:47:05:	23.87	0.00	0.00	0.00
2022-02-25 17:47:23:	23.87	0.00	0.00	0.00
2022-02-25 17:47:42:	23.86	0.00	0.00	0.00
2022-02-25 17:48:00:	23.86	0.00	0.00	0.00
2022-02-25 17:48:19:	23.86	0.00	0.00	0.00
2022-02-25 17:48:37:	23.85	0.00	0.00	0.00
2022-02-25 17:48:56:	23.85	0.00	0.00	0.00
2022-02-25 17:49:14:	23.85	0.00	0.00	0.00
2022-02-25 17:49:33:	23.85	0.00	0.00	0.00
2022-02-25 17:49:51:	23.84	0.00	0.00	0.00
2022-02-25 17:50:10:	23.84	0.00	0.00	0.00
2022-02-25 17:50:28:	23.84	0.00	0.00	0.00
2022-02-25 17:50:47:	23.84	0.00	0.00	0.00
2022-02-25 17:51:06:	23.84	0.00	0.00	0.00
2022-02-25 17:51:25:	23.83	0.00	0.00	0.00
2022-02-25 17:51:43:	23.83	0.00	0.00	0.00
2022-02-25 17:52:01:	23.82	0.00	0.00	0.00
2022-02-25 17:52:19:	23.82	0.00	0.00	0.00
2022-02-25 17:52:37:	23.82	0.00	0.00	0.00
2022-02-25 17:52:55:	23.81	0.00	0.00	0.00
2022-02-25 17:53:13:	23.81	0.00	0.00	0.00
2022-02-25 17:53:31:	23.81	0.00	0.00	0.00
2022-02-25 17:53:50:	23.80	0.00	0.00	0.00
2022-02-25 17:54:08:	23.80	0.00	0.00	0.00
2022-02-25 17:54:26:	23.80	0.00	0.00	0.00
2022-02-25 17:54:44:	23.79	0.00	0.00	0.00
2022-02-25 17:55:02:	23.79	0.00	0.00	0.00
2022-02-25 17:55:20:	23.79	0.00	0.00	0.00
2022-02-25 17:55:39:	23.79	0.00	0.00	0.00
2022-02-25 17:55:57:	23.78	0.00	0.00	0.00
2022-02-25 17:56:16:	23.78	0.00	0.00	0.00
2022-02-25 17:56:34:	23.78	0.00	0.00	0.00
2022-02-25 17:56:53:	23.77	0.00	0.00	0.00
2022-02-25 17:57:11:	23.77	0.00	0.00	0.00
2022-02-25 17:57:29:	23.77	0.00	0.00	0.00
2022-02-25 17:57:48:	23.77	0.00	0.00	0.00
2022-02-25 17:58:07:	23.76	0.00	0.00	0.00
2022-02-25 17:58:25:	23.76	0.00	0.00	0.00
2022-02-25 17:58:44:	23.76	0.00	0.00	0.00
2022-02-25 17:59:02:	23.75	0.00	0.00	0.00
2022-02-25 17:59:20:	23.75	0.00	0.00	0.00
2022-02-25 17:59:39:	23.75	0.00	0.00	0.00
2022-02-25 17:59:57:	23.74	0.00	0.00	0.00
2022-02-25 18:00:16:	23.74	0.00	0.00	0.00
2022-02-25 18:00:34:	23.74	0.00	0.00	0.00
2022-02-25 18:00:52:	23.74	0.00	0.00	0.00
2022-02-25 18:01:11:	23.73	0.00	0.00	0.00
2022-02-25 18:01:29:	23.73	0.00	0.00	0.00
2022-02-25 18:01:48:	23.73	0.00	0.00	0.00
2022-02-25 18:02:06:	23.72	0.00	0.00	0.00
2022-02-25 18:02:25:	23.72	0.00	0.00	0.00
2022-02-25 18:02:43:	23.72	0.00	0.00	0.00
2022-02-25 18:03:02:	23.72	0.00	0.00	0.00
2022-02-25 18:03:20:	23.71	0.00	0.00	0.00
2022-02-25 18:03:38:	23.71	0.00	0.00	0.00
2022-02-25 18:03:57:	23.71	0.00	0.00	0.00
2022-02-25 18:04:15:	23.70	0.00	0.00	0.00
2022-02-25 18:04:34:	23.70	0.00	0.00	0.00
2022-02-25 18:04:52:	23.70	0.00	0.00	0.00
2022-02-25 18:05:11:	23.69	0.00	0.00	0.00
2022-02-25 18:05:29:	23.69	0.00	0.00	0.00
2022-02-25 18:05:47:	23.69	0.00	0.00	0.00
2022-02-25 18:06:06:	23.68	0.00	0.00	0.00
2022-02-25 18:06:24:	23.68	0.00	0.00	0.00
2022-02-25 18:06:43:	23.68	0.00	0.00	0.00
2022-02-25 18:07:01:	23.68	0.00	0.00	0.00
2022-02-25 18:07:19:	23.67	0.00	0.00	0.00
2022-02-25 18:07:38:	23.67	0.00	0.00	0.00
2022-02-25 18:07:56:	23.67	0.00	0.00	0.00
