			pt1000 - external - setpoint - internal
2022-03-04 18:01:05:	23.61	0.00	0.00	0.00
2022-03-04 18:01:23:	23.60	0.00	0.00	0.00
2022-03-04 18:01:41:	23.60	0.00	0.00	0.00
2022-03-04 18:02:00:	23.60	0.00	0.00	0.00
2022-03-04 18:02:18:	23.60	0.00	0.00	0.00
2022-03-04 18:02:36:	23.61	0.00	0.00	0.00
2022-03-04 18:02:54:	23.60	0.00	0.00	0.00
2022-03-04 18:03:12:	23.61	0.00	0.00	0.00
2022-03-04 18:03:30:	23.61	0.00	0.00	0.00
2022-03-04 18:03:48:	23.62	0.00	0.00	0.00
2022-03-04 18:04:07:	23.63	0.00	0.00	0.00
2022-03-04 18:04:25:	23.62	0.00	0.00	0.00
2022-03-04 18:04:43:	23.63	0.00	0.00	0.00
2022-03-04 18:05:01:	23.63	0.00	0.00	0.00
2022-03-04 18:05:20:	23.64	0.00	0.00	0.00
2022-03-04 18:05:38:	23.64	0.00	0.00	0.00
2022-03-04 18:05:56:	23.64	0.00	0.00	0.00
2022-03-04 18:06:14:	23.65	0.00	0.00	0.00
2022-03-04 18:06:32:	23.65	0.00	0.00	0.00
2022-03-04 18:06:50:	23.65	0.00	0.00	0.00
2022-03-04 18:07:08:	23.65	0.00	0.00	0.00
2022-03-04 18:07:26:	23.66	0.00	0.00	0.00

 END: Keyboard Interrupt (or some other exception)

