			pt1000 - external - setpoint - internal
2023-09-11 09:24:20:	20.50	20.00	20.00	18.62
2023-09-11 09:24:42:	20.49	19.99	20.00	18.57
2023-09-11 09:25:03:	20.48	19.99	20.00	18.59
2023-09-11 09:25:23:	20.48	19.98	20.00	18.62
2023-09-11 09:25:44:	20.47	19.97	20.00	18.62
2023-09-11 09:26:05:	20.46	19.97	20.00	18.65
2023-09-11 09:26:26:	20.46	19.97	20.00	18.67
2023-09-11 09:26:47:	20.46	19.96	20.00	18.69
2023-09-11 09:27:08:	20.45	19.96	20.00	18.70
2023-09-11 09:27:29:	20.46	19.97	20.00	18.68
2023-09-11 09:27:50:	20.47	19.98	20.00	18.71
2023-09-11 09:28:11:	20.47	19.98	20.00	18.70
2023-09-11 09:28:32:	20.48	19.99	20.00	18.69
2023-09-11 09:28:53:	20.48	19.99	20.00	18.69
2023-09-11 09:29:14:	20.48	19.99	20.00	18.72
2023-09-11 09:29:35:	20.49	20.00	20.00	18.69
2023-09-11 09:29:56:	20.49	20.00	20.00	18.66
2023-09-11 09:30:16:	20.49	20.00	20.00	18.64
2023-09-11 09:30:37:	20.49	20.00	20.00	18.63
2023-09-11 09:30:58:	20.49	20.00	20.00	18.66
2023-09-11 09:31:19:	20.49	20.00	20.00	18.63
2023-09-11 09:31:40:	20.49	20.00	20.00	18.65
2023-09-11 09:32:01:	20.50	20.00	20.00	18.68
2023-09-11 09:32:23:	20.49	20.00	20.00	18.66
2023-09-11 09:32:43:	20.48	20.00	20.00	18.66
2023-09-11 09:33:05:	20.49	19.99	20.00	18.66
2023-09-11 09:33:25:	20.48	20.00	20.00	18.66
2023-09-11 09:33:46:	20.49	20.00	20.00	18.68
2023-09-11 09:34:07:	20.49	19.99	20.00	18.68
2023-09-11 09:34:29:	20.49	19.99	20.00	18.65
2023-09-11 09:34:50:	20.49	20.00	20.00	18.69
2023-09-11 09:35:11:	20.49	19.99	20.00	18.68
2023-09-11 09:35:32:	20.49	20.00	20.00	18.69
2023-09-11 09:35:53:	20.49	20.00	20.00	18.70
2023-09-11 09:36:14:	20.49	19.99	20.00	18.70
2023-09-11 09:36:35:	20.49	20.00	20.00	18.66
2023-09-11 09:36:57:	20.49	20.00	20.00	18.67
2023-09-11 09:37:17:	20.49	20.00	20.00	18.67
2023-09-11 09:37:39:	20.48	20.00	20.00	18.68
2023-09-11 09:38:00:	20.49	20.00	20.00	18.70
2023-09-11 09:38:21:	20.49	19.99	20.00	18.65
2023-09-11 09:38:42:	20.48	20.00	20.00	18.70
2023-09-11 09:39:04:	20.49	20.00	20.00	18.69
2023-09-11 09:39:24:	20.49	20.00	20.00	18.67
2023-09-11 09:39:45:	20.49	20.00	20.00	18.70
2023-09-11 09:40:05:	20.49	20.01	20.00	18.67
2023-09-11 09:40:26:	20.48	19.99	20.00	18.68
2023-09-11 09:40:47:	20.48	20.00	20.00	18.64
2023-09-11 09:41:08:	20.49	20.00	20.00	18.68
2023-09-11 09:41:28:	20.49	20.00	20.00	18.70
2023-09-11 09:41:48:	20.50	20.00	20.00	18.65
2023-09-11 09:42:09:	20.50	20.00	20.00	18.67
2023-09-11 09:42:30:	20.49	20.00	20.00	18.67
2023-09-11 09:42:50:	20.50	20.00	20.00	18.69
2023-09-11 09:43:11:	20.50	20.00	20.00	18.68
2023-09-11 09:43:31:	20.50	20.00	20.00	18.65
2023-09-11 09:43:52:	20.51	20.00	20.00	18.69
2023-09-11 09:44:12:	20.50	20.01	20.00	18.68
2023-09-11 09:44:33:	20.50	20.01	20.00	18.68
2023-09-11 09:44:54:	20.50	20.01	20.00	18.66
2023-09-11 09:45:15:	20.51	20.00	20.00	18.61
2023-09-11 09:45:36:	20.50	20.00	20.00	18.64
2023-09-11 09:45:57:	20.50	20.00	20.00	18.64
2023-09-11 09:46:18:	20.50	19.99	20.00	18.68
2023-09-11 09:46:40:	20.50	19.99	20.00	18.64
2023-09-11 09:47:01:	20.49	19.99	20.00	18.65
2023-09-11 09:47:22:	20.49	19.99	20.00	18.67
2023-09-11 09:47:43:	20.49	19.99	20.00	18.67
2023-09-11 09:48:05:	20.49	19.98	20.00	18.66
2023-09-11 09:48:26:	20.49	19.99	20.00	18.68
2023-09-11 09:48:47:	20.49	19.99	20.00	18.70
2023-09-11 09:49:08:	20.49	20.00	20.00	18.69
2023-09-11 09:49:29:	20.49	20.00	20.00	18.71
2023-09-11 09:49:50:	20.49	20.00	20.00	18.71
2023-09-11 09:50:11:	20.50	20.00	20.00	18.69
2023-09-11 09:50:32:	20.50	20.00	20.00	18.67
2023-09-11 09:50:53:	20.50	20.00	20.00	18.69
2023-09-11 09:51:14:	20.50	20.01	20.00	18.65
2023-09-11 09:51:34:	20.50	20.00	20.00	18.67
2023-09-11 09:51:55:	20.50	20.01	20.00	18.66
2023-09-11 09:52:16:	20.50	20.00	20.00	18.67
2023-09-11 09:52:36:	20.50	20.01	20.00	18.67
2023-09-11 09:52:57:	20.50	20.00	20.00	18.65
2023-09-11 09:53:17:	20.51	20.00	20.00	18.67
2023-09-11 09:53:38:	20.50	20.01	20.00	18.68
2023-09-11 09:53:58:	20.50	20.00	20.00	18.65
2023-09-11 09:54:19:	20.50	20.00	20.00	18.67
2023-09-11 09:54:39:	20.50	20.00	20.00	18.65
2023-09-11 09:55:00:	20.50	20.00	20.00	18.65
2023-09-11 09:55:21:	20.50	20.00	20.00	18.69
