# CV Sweep
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       5.00 s
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-3.70000E+02	-3.70002E+02	1.00000E+03	9.70080E+03	2.24908E+03	-2.51591E+06	1.06965E+03	6.32594E-11	6.32585E-11	-4.77435E-05
-3.80000E+02	-3.80003E+02	1.00000E+03	3.13689E+03	1.18673E+03	-2.51411E+06	1.40779E+03	6.33046E-11	6.33045E-11	-4.94878E-08
-3.90000E+02	-3.90004E+02	1.00000E+03	9.06245E+03	2.36902E+03	-2.51372E+06	1.68362E+03	6.33145E-11	6.33137E-11	-4.77432E-05
-4.00000E+02	-4.00004E+02	1.00000E+03	2.13488E+03	1.32688E+03	-2.51468E+06	1.86542E+03	6.32902E-11	6.32902E-11	-5.22247E-08
-4.10000E+02	-4.10004E+02	1.00000E+03	1.08432E+04	2.07021E+03	-2.50906E+06	1.43000E+03	6.34320E-11	6.34308E-11	-4.77670E-05
-4.20000E+02	-4.19998E+02	1.00000E+03	1.69881E+03	1.41267E+03	-2.51032E+06	1.55289E+03	6.34002E-11	6.34002E-11	-5.43137E-08
-4.30000E+02	-4.29998E+02	1.00000E+03	7.29252E+03	1.74627E+03	-2.50907E+06	2.00297E+03	6.34317E-11	6.34312E-11	-4.78243E-05
-4.40000E+02	-4.40015E+02	1.00000E+03	1.19673E+03	1.83840E+03	-2.51415E+06	2.38154E+03	6.33038E-11	6.33038E-11	-5.06424E-08
-4.50000E+02	-4.49997E+02	1.00000E+03	4.72861E+03	3.20557E+03	-2.51352E+06	1.21045E+03	6.33195E-11	6.33192E-11	-4.77361E-05
-4.60000E+02	-4.60015E+02	1.00000E+03	7.75440E+02	1.45440E+03	-2.51141E+06	2.03615E+03	6.33728E-11	6.33728E-11	-5.52110E-08
-4.70000E+02	-4.69998E+02	1.00000E+03	8.71217E+03	2.15752E+03	-2.50704E+06	2.40774E+03	6.34831E-11	6.34823E-11	-4.77734E-05
-4.80000E+02	-4.80015E+02	1.00000E+03	8.22096E+02	1.26688E+03	-2.51167E+06	2.27745E+03	6.33661E-11	6.33661E-11	-5.89252E-08
-4.90000E+02	-4.89992E+02	1.00000E+03	1.59420E+03	2.54390E+03	-2.51078E+06	1.68491E+03	6.33886E-11	6.33885E-11	-4.77857E-05
-5.00000E+02	-5.00007E+02	1.00000E+03	-1.17380E+03	1.36666E+03	-2.51009E+06	1.43357E+03	-6.34060E-11	-6.34060E-11	-6.53934E-08
-5.10000E+02	-5.09992E+02	1.00000E+03	3.79464E+03	2.79206E+03	-2.51001E+06	1.16160E+03	6.34081E-11	6.34080E-11	-4.78590E-05
-5.20000E+02	-5.20009E+02	1.00000E+03	-3.88375E+03	1.49848E+03	-2.51061E+06	1.71149E+03	-6.33930E-11	-6.33928E-11	-6.65310E-08
-5.30000E+02	-5.29992E+02	1.00000E+03	3.11918E+03	1.50767E+03	-2.51084E+06	2.20361E+03	6.33870E-11	6.33869E-11	-4.78620E-05
-5.40000E+02	-5.40009E+02	1.00000E+03	-5.58939E+03	1.63461E+03	-2.51127E+06	1.56673E+03	-6.33763E-11	-6.33760E-11	-6.61294E-08
-5.50000E+02	-5.49992E+02	1.00000E+03	3.61389E+02	2.05489E+03	-2.51084E+06	1.76498E+03	6.33870E-11	6.33870E-11	-4.79087E-05
-5.60000E+02	-5.60010E+02	1.00000E+03	6.33720E+01	2.34696E+03	-2.50978E+06	1.95307E+03	6.34139E-11	6.34139E-11	-7.01109E-08
-5.70000E+02	-5.69988E+02	1.00000E+03	3.00053E+03	2.12073E+03	-2.51120E+06	1.44117E+03	6.33781E-11	6.33781E-11	-4.78898E-05
-5.80000E+02	-5.80005E+02	1.00000E+03	-2.60332E+03	1.39171E+03	-2.50959E+06	1.70869E+03	-6.34188E-11	-6.34187E-11	-7.24842E-08
-5.90000E+02	-5.89987E+02	1.00000E+03	-6.96185E+02	2.46150E+03	-2.50638E+06	1.88323E+03	-6.34998E-11	-6.34998E-11	-4.79785E-05
-6.00000E+02	-6.00005E+02	1.00000E+03	-1.60143E+02	2.14810E+03	-2.50984E+06	1.08723E+03	-6.34124E-11	-6.34124E-11	-7.41659E-08
-6.10000E+02	-6.09988E+02	1.00000E+03	5.20652E+03	2.61818E+03	-2.50701E+06	1.86681E+03	6.34840E-11	6.34837E-11	-4.79843E-05
-6.20000E+02	-6.20002E+02	1.00000E+03	-4.16740E+03	1.17337E+03	-2.50846E+06	1.10291E+03	-6.34473E-11	-6.34472E-11	-7.07023E-08
-6.30000E+02	-6.29986E+02	1.00000E+03	1.87897E+03	2.52520E+03	-2.51079E+06	1.59994E+03	6.33885E-11	6.33884E-11	-4.80493E-05
-6.40000E+02	-6.39996E+02	1.00000E+03	-3.44729E+03	1.79130E+03	-2.50374E+06	9.21796E+02	-6.35668E-11	-6.35666E-11	-7.35500E-08
-6.50000E+02	-6.49997E+02	1.00000E+03	2.37786E+03	1.73711E+03	-2.50628E+06	1.61625E+03	6.35026E-11	6.35025E-11	-4.81840E-05
-6.60000E+02	-6.59994E+02	1.00000E+03	-2.75693E+03	1.36812E+03	-2.50952E+06	1.04250E+03	-6.34205E-11	-6.34205E-11	-7.54634E-08
-6.70000E+02	-6.69994E+02	1.00000E+03	4.77071E+03	2.71230E+03	-2.50926E+06	2.26112E+03	6.34272E-11	6.34269E-11	-4.82338E-05
-6.80000E+02	-6.79993E+02	1.00000E+03	-3.57279E+03	1.42347E+03	-2.51089E+06	1.88045E+03	-6.33859E-11	-6.33858E-11	-7.71358E-08
-6.90000E+02	-6.89994E+02	1.00000E+03	5.52488E+03	2.39708E+03	-2.50728E+06	1.39536E+03	6.34770E-11	6.34767E-11	-4.82835E-05
-7.00000E+02	-6.99995E+02	1.00000E+03	-7.24217E+03	1.38066E+03	-2.50994E+06	1.08513E+03	-6.34100E-11	-6.34095E-11	-8.04823E-08
-7.10000E+02	-7.09995E+02	1.00000E+03	3.19225E+02	2.28045E+03	-2.51129E+06	1.60349E+03	6.33757E-11	6.33757E-11	-4.82943E-05
-7.20000E+02	-7.19985E+02	1.00000E+03	-8.02924E+03	1.33464E+03	-2.51109E+06	8.39472E+02	-6.33809E-11	-6.33803E-11	-8.16463E-08
-7.30000E+02	-7.29989E+02	1.00000E+03	3.29707E+03	1.87906E+03	-2.50755E+06	1.39801E+03	6.34702E-11	6.34701E-11	-4.83041E-05
-7.40000E+02	-7.39986E+02	1.00000E+03	-4.73505E+03	1.13736E+03	-2.51067E+06	1.85143E+03	-6.33915E-11	-6.33912E-11	-8.78097E-08
-7.50000E+02	-7.49987E+02	1.00000E+03	1.83416E+03	1.21455E+03	-2.50861E+06	2.06127E+03	6.34436E-11	6.34435E-11	-4.83616E-05
-7.60000E+02	-7.59983E+02	1.00000E+03	-6.07975E+03	1.76087E+03	-2.51019E+06	1.93231E+03	-6.34034E-11	-6.34031E-11	-8.71802E-08
-7.70000E+02	-7.69985E+02	1.00000E+03	1.74201E+03	2.25983E+03	-2.50728E+06	1.64494E+03	6.34771E-11	6.34771E-11	-4.83681E-05
-7.80000E+02	-7.79980E+02	1.00000E+03	-5.47219E+03	1.69559E+03	-2.51120E+06	1.58858E+03	-6.33781E-11	-6.33778E-11	-8.70615E-08
-7.90000E+02	-7.89981E+02	1.00000E+03	2.11211E+03	2.51647E+03	-2.50835E+06	1.51329E+03	6.34502E-11	6.34501E-11	-4.84032E-05
-8.00000E+02	-7.99970E+02	1.00000E+03	-8.81282E+03	1.19137E+03	-2.51283E+06	1.67385E+03	-6.33368E-11	-6.33361E-11	-9.03553E-08
