# CV Sweep
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       5.00 s
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-3.70000E+02	-3.70003E+02	1.00000E+03	6.15038E+03	1.24781E+03	-2.51167E+06	1.96469E+03	6.33663E-11	6.33659E-11	-4.76936E-05
-3.80000E+02	-3.80002E+02	1.00000E+03	4.85323E+03	1.69182E+03	-2.51303E+06	1.22337E+03	6.33319E-11	6.33317E-11	-4.49955E-08
-3.90000E+02	-3.90005E+02	1.00000E+03	2.96010E+03	8.64479E+02	-2.51095E+06	7.97151E+02	6.33843E-11	6.33842E-11	-4.77023E-05
-4.00000E+02	-4.00005E+02	1.00000E+03	3.96958E+03	1.65506E+03	-2.51246E+06	1.48905E+03	6.33461E-11	6.33460E-11	-5.28733E-08
-4.10000E+02	-4.10005E+02	1.00000E+03	4.22828E+03	1.78639E+03	-2.51341E+06	2.23938E+03	6.33222E-11	6.33220E-11	-4.77403E-05
-4.20000E+02	-4.19999E+02	1.00000E+03	3.73250E+03	1.63034E+03	-2.50943E+06	1.52321E+03	6.34227E-11	6.34225E-11	-4.85760E-08
-4.30000E+02	-4.29998E+02	1.00000E+03	1.21701E+03	2.35709E+03	-2.51466E+06	2.27845E+03	6.32908E-11	6.32908E-11	-4.77597E-05
-4.40000E+02	-4.40016E+02	1.00000E+03	-9.13620E+02	1.40805E+03	-2.51414E+06	1.84108E+03	-6.33040E-11	-6.33039E-11	-4.76304E-08
-4.50000E+02	-4.49998E+02	1.00000E+03	-2.64503E+03	2.11006E+03	-2.51320E+06	1.73985E+03	-6.33276E-11	-6.33275E-11	-4.76836E-05
-4.60000E+02	-4.60016E+02	1.00000E+03	-1.24651E+03	1.88081E+03	-2.51368E+06	1.42421E+03	-6.33156E-11	-6.33156E-11	-5.87535E-08
-4.70000E+02	-4.70000E+02	1.00000E+03	-1.14670E+03	1.24541E+03	-2.51318E+06	1.45627E+03	-6.33282E-11	-6.33282E-11	-4.77226E-05
-4.80000E+02	-4.80016E+02	1.00000E+03	-3.36445E+03	2.19575E+03	-2.51296E+06	1.36222E+03	-6.33338E-11	-6.33337E-11	-5.60822E-08
-4.90000E+02	-4.89992E+02	1.00000E+03	-2.38705E+03	1.33473E+03	-2.51150E+06	1.55315E+03	-6.33706E-11	-6.33705E-11	-4.77120E-05
-5.00000E+02	-5.00010E+02	1.00000E+03	-1.01203E+03	1.86162E+03	-2.50930E+06	1.25366E+03	-6.34259E-11	-6.34259E-11	-6.07128E-08
-5.10000E+02	-5.09993E+02	1.00000E+03	-1.16253E+03	2.07609E+03	-2.50864E+06	1.48760E+03	-6.34428E-11	-6.34428E-11	-4.77752E-05
-5.20000E+02	-5.20007E+02	1.00000E+03	-3.72289E+03	1.86875E+03	-2.51198E+06	2.14231E+03	-6.33584E-11	-6.33583E-11	-6.40849E-08
-5.30000E+02	-5.29992E+02	1.00000E+03	-1.07895E+03	2.15229E+03	-2.50990E+06	1.41151E+03	-6.34108E-11	-6.34108E-11	-4.78421E-05
-5.40000E+02	-5.40012E+02	1.00000E+03	-1.16767E+03	1.79646E+03	-2.51138E+06	9.86718E+02	-6.33736E-11	-6.33736E-11	-6.42890E-08
-5.50000E+02	-5.49993E+02	1.00000E+03	-3.35518E+03	1.49191E+03	-2.51008E+06	1.76228E+03	-6.34063E-11	-6.34062E-11	-4.78285E-05
-5.60000E+02	-5.60011E+02	1.00000E+03	-1.36701E+03	1.56242E+03	-2.50994E+06	2.01704E+03	-6.34098E-11	-6.34098E-11	-5.98241E-08
-5.70000E+02	-5.69988E+02	1.00000E+03	-3.51922E+03	8.63948E+02	-2.51057E+06	8.82507E+02	-6.33940E-11	-6.33938E-11	-4.78288E-05
-5.80000E+02	-5.80005E+02	1.00000E+03	-4.37617E+03	1.20579E+03	-2.50949E+06	9.61293E+02	-6.34212E-11	-6.34210E-11	-6.62103E-08
-5.90000E+02	-5.89989E+02	1.00000E+03	-8.70850E+01	1.25045E+03	-2.51001E+06	1.21733E+03	-6.34081E-11	-6.34081E-11	-4.79193E-05
-6.00000E+02	-6.00006E+02	1.00000E+03	-3.47029E+03	1.55181E+03	-2.50914E+06	1.19709E+03	-6.34300E-11	-6.34299E-11	-6.40670E-08
-6.10000E+02	-6.09988E+02	1.00000E+03	-2.54782E+03	1.40865E+03	-2.50824E+06	1.74431E+03	-6.34530E-11	-6.34529E-11	-4.79749E-05
-6.20000E+02	-6.20004E+02	1.00000E+03	-1.86256E+03	1.81406E+03	-2.51278E+06	1.07211E+03	-6.33381E-11	-6.33380E-11	-7.05973E-08
-6.30000E+02	-6.29985E+02	1.00000E+03	-3.42371E+03	1.70108E+03	-2.50752E+06	1.33130E+03	-6.34710E-11	-6.34709E-11	-4.79483E-05
-6.40000E+02	-6.39996E+02	1.00000E+03	-2.11541E+03	1.35591E+03	-2.50918E+06	1.20251E+03	-6.34290E-11	-6.34290E-11	-6.99515E-08
-6.50000E+02	-6.49995E+02	1.00000E+03	-2.11374E+03	1.83245E+03	-2.51097E+06	1.12219E+03	-6.33837E-11	-6.33837E-11	-4.81295E-05
-6.60000E+02	-6.59996E+02	1.00000E+03	-3.25191E+03	2.07858E+03	-2.50944E+06	1.30429E+03	-6.34225E-11	-6.34224E-11	-7.40622E-08
-6.70000E+02	-6.69996E+02	1.00000E+03	-2.23953E+03	1.11438E+03	-2.50738E+06	1.17465E+03	-6.34747E-11	-6.34746E-11	-4.81751E-05
-6.80000E+02	-6.79993E+02	1.00000E+03	-4.25020E+03	1.01330E+03	-2.50807E+06	1.44772E+03	-6.34571E-11	-6.34569E-11	-8.13694E-08
-6.90000E+02	-6.89996E+02	1.00000E+03	-5.52846E+03	1.72861E+03	-2.50877E+06	1.13236E+03	-6.34395E-11	-6.34392E-11	-4.81842E-05
-7.00000E+02	-6.99994E+02	1.00000E+03	-2.39269E+03	1.58507E+03	-2.50992E+06	2.13944E+03	-6.34102E-11	-6.34102E-11	-7.81850E-08
-7.10000E+02	-7.09996E+02	1.00000E+03	-3.14077E+03	1.89911E+03	-2.51067E+06	1.43029E+03	-6.33914E-11	-6.33913E-11	-4.82067E-05
-7.20000E+02	-7.19986E+02	1.00000E+03	-3.39350E+03	1.51217E+03	-2.50683E+06	1.62061E+03	-6.34885E-11	-6.34884E-11	-7.20671E-08
-7.30000E+02	-7.29991E+02	1.00000E+03	-3.06087E+03	1.51229E+03	-2.51021E+06	1.38622E+03	-6.34030E-11	-6.34029E-11	-4.82655E-05
-7.40000E+02	-7.39989E+02	1.00000E+03	-4.37841E+03	1.14004E+03	-2.51170E+06	1.98942E+03	-6.33655E-11	-6.33653E-11	-8.06319E-08
-7.50000E+02	-7.49988E+02	1.00000E+03	-4.65071E+03	9.54060E+02	-2.50931E+06	1.52004E+03	-6.34258E-11	-6.34256E-11	-4.83173E-05
-7.60000E+02	-7.59985E+02	1.00000E+03	-2.79229E+03	1.31722E+03	-2.51312E+06	1.67249E+03	-6.33297E-11	-6.33296E-11	-8.42382E-08
-7.70000E+02	-7.69985E+02	1.00000E+03	-5.14949E+03	7.31041E+02	-2.51152E+06	1.49388E+03	-6.33699E-11	-6.33696E-11	-4.82956E-05
-7.80000E+02	-7.79982E+02	1.00000E+03	-4.72311E+03	1.33727E+03	-2.50998E+06	1.14683E+03	-6.34089E-11	-6.34086E-11	-7.86741E-08
-7.90000E+02	-7.89978E+02	1.00000E+03	-5.82953E+03	1.04631E+03	-2.51066E+06	1.20439E+03	-6.33918E-11	-6.33915E-11	-4.83237E-05
-8.00000E+02	-7.99972E+02	1.00000E+03	-2.47403E+03	1.47526E+03	-2.51123E+06	1.76748E+03	-6.33772E-11	-6.33771E-11	-8.63862E-08
