			pt1000 - external - setpoint - internal
2022-03-04 18:39:10:	24.82	0.00	0.00	0.00
2022-03-04 18:39:29:	24.91	0.00	0.00	0.00
2022-03-04 18:39:47:	24.94	0.00	0.00	0.00
2022-03-04 18:40:05:	24.97	0.00	0.00	0.00
2022-03-04 18:40:23:	24.99	0.00	0.00	0.00
2022-03-04 18:40:41:	25.01	0.00	0.00	0.00
2022-03-04 18:40:59:	25.02	0.00	0.00	0.00
2022-03-04 18:41:17:	25.04	0.00	0.00	0.00
2022-03-04 18:41:35:	25.06	0.00	0.00	0.00
2022-03-04 18:41:53:	25.06	0.00	0.00	0.00
2022-03-04 18:42:11:	25.07	0.00	0.00	0.00
2022-03-04 18:42:30:	25.07	0.00	0.00	0.00
2022-03-04 18:42:48:	25.08	0.00	0.00	0.00
2022-03-04 18:43:06:	25.09	0.00	0.00	0.00
2022-03-04 18:43:24:	25.10	0.00	0.00	0.00
2022-03-04 18:43:42:	25.09	0.00	0.00	0.00
2022-03-04 18:44:00:	25.10	0.00	0.00	0.00
2022-03-04 18:44:18:	25.10	0.00	0.00	0.00
2022-03-04 18:44:36:	25.10	0.00	0.00	0.00
2022-03-04 18:44:54:	25.11	0.00	0.00	0.00
2022-03-04 18:45:12:	25.10	0.00	0.00	0.00
2022-03-04 18:45:31:	25.11	0.00	0.00	0.00
2022-03-04 18:45:49:	25.10	0.00	0.00	0.00
2022-03-04 18:46:07:	25.10	0.00	0.00	0.00
2022-03-04 18:46:25:	25.12	0.00	0.00	0.00
2022-03-04 18:46:43:	25.12	0.00	0.00	0.00
2022-03-04 18:47:01:	25.13	0.00	0.00	0.00
2022-03-04 18:47:19:	25.13	0.00	0.00	0.00
2022-03-04 18:47:38:	25.12	0.00	0.00	0.00
2022-03-04 18:48:01:	25.13	0.00	0.00	0.00
2022-03-04 18:48:18:	25.12	0.00	0.00	0.00
2022-03-04 18:48:36:	25.13	0.00	0.00	0.00
2022-03-04 18:48:54:	25.13	0.00	0.00	0.00
2022-03-04 18:49:12:	25.13	0.00	0.00	0.00
