			pt1000 - external - setpoint - internal
2022-03-07 16:27:37:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:47:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:47:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:47:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00
2022-03-07 16:27:48:	-999.00	0.00	0.00	0.00

 END: Keyboard Interrupt (or some other exception)

