			pt1000 - external - setpoint - internal
2021-11-04 10:57:47:	-18.65	-19.60	-20.00	-30.28
2021-11-04 10:58:08:	-18.64	-19.50	-20.00	-32.51
2021-11-04 10:58:29:	-18.63	-19.47	-20.00	-29.51
2021-11-04 10:58:49:	-18.59	-19.46	-20.00	-28.62
2021-11-04 10:59:10:	-18.56	-19.49	-20.00	-31.26
2021-11-04 10:59:30:	-18.58	-19.54	-20.00	-30.53
2021-11-04 10:59:51:	-18.61	-19.61	-20.00	-30.69
2021-11-04 11:00:11:	-18.60	-19.69	-20.00	-30.42
2021-11-04 11:00:32:	-18.69	-19.77	-20.00	-29.75
2021-11-04 11:00:52:	-18.75	-19.85	-20.00	-29.72
2021-11-04 11:01:13:	-18.76	-19.88	-20.00	-30.09
2021-11-04 11:01:34:	-18.79	-19.91	-20.00	-29.20
2021-11-04 11:01:55:	-18.76	-19.95	-20.00	-29.78
2021-11-04 11:02:15:	-18.82	-19.93	-20.00	-30.40
2021-11-04 11:02:36:	-18.82	-19.91	-20.00	-30.49
2021-11-04 11:02:56:	-18.83	-19.92	-20.00	-29.73
2021-11-04 11:03:17:	-18.86	-19.88	-20.00	-30.16
2021-11-04 11:03:37:	-18.90	-19.85	-20.00	-30.96
2021-11-04 11:03:58:	-18.85	-19.83	-20.00	-31.31
2021-11-04 11:04:18:	-18.88	-19.80	-20.00	-29.39
2021-11-04 11:04:39:	-18.74	-19.79	-20.00	-29.42
2021-11-04 11:05:00:	-18.83	-19.74	-20.00	-29.51
2021-11-04 11:05:20:	-18.77	-19.64	-20.00	-30.64
2021-11-04 11:05:40:	-18.68	-19.56	-20.00	-32.70
2021-11-04 11:06:01:	-18.69	-19.52	-20.00	-29.58
2021-11-04 11:06:22:	-18.63	-19.52	-20.00	-26.44
2021-11-04 11:06:42:	-18.68	-19.55	-20.00	-30.57
2021-11-04 11:07:03:	-18.70	-19.57	-20.00	-30.19
2021-11-04 11:07:24:	-18.63	-19.59	-20.00	-29.71
2021-11-04 11:07:44:	-18.70	-19.60	-20.00	-29.11
2021-11-04 11:08:05:	-18.74	-19.64	-20.00	-28.67
2021-11-04 11:08:25:	-18.69	-19.66	-20.00	-29.39
2021-11-04 11:08:46:	-18.73	-19.66	-20.00	-29.31
2021-11-04 11:09:06:	-18.67	-19.57	-20.00	-26.54
2021-11-04 11:09:27:	-18.65	-19.44	-20.00	-28.35
2021-11-04 11:09:48:	-18.54	-19.28	-20.00	-28.48
2021-11-04 11:10:08:	-18.45	-19.14	-20.00	-30.01
2021-11-04 11:10:29:	-18.33	-19.02	-20.00	-30.10
2021-11-04 11:10:50:	-18.23	-18.93	-20.00	-28.29
2021-11-04 11:11:10:	-18.15	-18.82	-20.00	-28.66
2021-11-04 11:11:31:	-18.11	-18.71	-20.00	-28.73
2021-11-04 11:11:51:	-18.05	-18.68	-20.00	-28.77
2021-11-04 11:12:12:	-18.02	-18.61	-20.00	-30.13
2021-11-04 11:12:32:	-17.88	-18.57	-20.00	-30.73
2021-11-04 11:12:53:	-17.87	-18.60	-20.00	-30.35
2021-11-04 11:13:13:	-17.91	-18.63	-20.00	-30.17
2021-11-04 11:13:34:	-17.98	-18.71	-20.00	-30.05
2021-11-04 11:13:54:	-17.95	-18.80	-20.00	-30.09
2021-11-04 11:14:15:	-18.07	-18.85	-20.00	-30.11
2021-11-04 11:14:36:	-18.11	-18.98	-20.00	-30.63
2021-11-04 11:14:56:	-18.12	-19.14	-20.00	-31.10
2021-11-04 11:15:17:	-18.30	-19.31	-20.00	-31.40
2021-11-04 11:15:37:	-18.41	-19.43	-20.00	-31.26
2021-11-04 11:15:58:	-18.54	-19.60	-20.00	-29.26
2021-11-04 11:16:18:	-18.62	-19.77	-20.00	-30.30
2021-11-04 11:16:39:	-18.75	-19.89	-20.00	-30.94
2021-11-04 11:17:00:	-18.81	-20.00	-20.00	-30.84
2021-11-04 11:17:20:	-18.85	-20.06	-20.00	-29.92
2021-11-04 11:17:41:	-18.94	-20.08	-20.00	-28.55
2021-11-04 11:18:01:	-18.96	-20.05	-20.00	-27.54
2021-11-04 11:18:22:	-18.94	-19.97	-20.00	-28.34
2021-11-04 11:18:43:	-18.89	-19.83	-20.00	-29.64
2021-11-04 11:19:03:	-18.84	-19.71	-20.00	-29.22
2021-11-04 11:19:24:	-18.73	-19.60	-20.00	-29.26
2021-11-04 11:19:44:	-18.62	-19.49	-20.00	-29.07
2021-11-04 11:20:05:	-18.55	-19.45	-20.00	-29.48
2021-11-04 11:20:25:	-18.53	-19.42	-20.00	-31.65
2021-11-04 11:20:46:	-18.45	-19.36	-20.00	-30.74
2021-11-04 11:21:07:	-18.45	-19.31	-20.00	-26.85
2021-11-04 11:21:27:	-18.48	-19.35	-20.00	-28.33
2021-11-04 11:21:48:	-18.50	-19.39	-20.00	-31.05
2021-11-04 11:22:08:	-18.46	-19.45	-20.00	-29.91
2021-11-04 11:22:29:	-18.53	-19.47	-20.00	-28.79
2021-11-04 11:22:50:	-18.58	-19.50	-20.00	-28.60
2021-11-04 11:23:10:	-18.62	-19.53	-20.00	-28.20
2021-11-04 11:23:31:	-18.56	-19.50	-20.00	-27.26
2021-11-04 11:23:51:	-18.56	-19.38	-20.00	-25.99
2021-11-04 11:24:12:	-18.46	-19.26	-20.00	-28.43
2021-11-04 11:24:32:	-18.29	-19.13	-20.00	-28.80
2021-11-04 11:24:53:	-18.17	-18.95	-20.00	-29.19
2021-11-04 11:25:14:	-18.12	-18.81	-20.00	-28.84
2021-11-04 11:25:35:	-18.07	-18.73	-20.00	-28.89
2021-11-04 11:25:55:	-17.97	-18.68	-20.00	-29.89
2021-11-04 11:26:21:	-17.92	-18.67	-20.00	-29.10
2021-11-04 11:26:41:	-17.88	-18.66	-20.00	-28.76
2021-11-04 11:27:02:	-17.82	-18.64	-20.00	-30.45
2021-11-04 11:27:23:	-17.84	-18.69	-20.00	-30.13
2021-11-04 11:27:44:	-17.89	-18.76	-20.00	-30.03
2021-11-04 11:28:05:	-17.94	-18.83	-20.00	-30.00
2021-11-04 11:28:26:	-17.94	-18.90	-20.00	-30.52
2021-11-04 11:28:47:	-18.10	-18.99	-20.00	-30.49
2021-11-04 11:29:08:	-18.16	-19.07	-20.00	-30.31
2021-11-04 11:29:29:	-18.21	-19.15	-20.00	-29.13
2021-11-04 11:29:50:	-18.32	-19.21	-20.00	-29.54
2021-11-04 11:30:11:	-18.41	-19.23	-20.00	-29.59
2021-11-04 11:30:32:	-18.34	-19.26	-20.00	-29.75
2021-11-04 11:30:53:	-18.43	-19.30	-20.00	-29.87
2021-11-04 11:31:14:	-18.48	-19.32	-20.00	-30.03
2021-11-04 11:31:35:	-18.53	-19.36	-20.00	-30.33
2021-11-04 11:31:56:	-18.55	-19.35	-20.00	-30.52
2021-11-04 11:32:17:	-18.52	-19.34	-20.00	-31.17
2021-11-04 11:32:38:	-18.55	-19.35	-20.00	-30.76
2021-11-04 11:32:59:	-18.62	-19.37	-20.00	-29.21
2021-11-04 11:33:20:	-18.56	-19.37	-20.00	-29.85
2021-11-04 11:33:41:	-18.56	-19.34	-20.00	-29.76
2021-11-04 11:34:02:	-18.55	-19.28	-20.00	-29.45
2021-11-04 11:34:23:	-18.49	-19.24	-20.00	-30.25
2021-11-04 11:34:44:	-18.51	-19.21	-20.00	-32.39
2021-11-04 11:35:05:	-18.45	-19.23	-20.00	-32.45
2021-11-04 11:35:26:	-18.46	-19.26	-20.00	-28.88
2021-11-04 11:35:46:	-18.53	-19.32	-20.00	-31.21
2021-11-04 11:36:07:	-18.49	-19.38	-20.00	-28.80
2021-11-04 11:36:27:	-18.52	-19.42	-20.00	-30.31
2021-11-04 11:36:48:	-18.57	-19.39	-20.00	-28.44
2021-11-04 11:37:08:	-18.56	-19.42	-20.00	-28.02
2021-11-04 11:37:29:	-18.62	-19.43	-20.00	-30.51
2021-11-04 11:37:50:	-18.57	-19.45	-20.00	-29.92
2021-11-04 11:38:10:	-18.63	-19.42	-20.00	-30.25
2021-11-04 11:38:31:	-18.64	-19.52	-20.00	-30.00
2021-11-04 11:38:52:	-18.70	-19.60	-20.00	-29.64
2021-11-04 11:39:12:	-18.75	-19.67	-20.00	-30.34
2021-11-04 11:39:33:	-18.81	-19.71	-20.00	-30.55
2021-11-04 11:39:54:	-18.78	-19.69	-20.00	-29.37
2021-11-04 11:40:14:	-18.81	-19.74	-20.00	-29.30
2021-11-04 11:40:34:	-18.79	-19.72	-20.00	-29.20
2021-11-04 11:40:55:	-18.80	-19.66	-20.00	-30.42
