			pt1000 - external - setpoint - internal
2023-09-08 12:01:25:	0.48	0.00	20.00	-4.42
2023-09-08 12:01:46:	0.39	-0.03	20.00	-3.98
2023-09-08 12:02:07:	0.35	-0.06	20.00	-3.75
2023-09-08 12:02:27:	0.33	-0.09	20.00	-2.22
2023-09-08 12:02:48:	0.37	-0.07	20.00	-0.09
2023-09-08 12:03:09:	0.46	0.04	20.00	1.98
2023-09-08 12:03:30:	0.67	0.25	20.00	3.89
2023-09-08 12:03:51:	0.85	0.55	20.00	5.89
2023-09-08 12:04:11:	1.19	0.96	20.00	7.45
2023-09-08 12:04:32:	1.68	1.49	20.00	8.77
2023-09-08 12:04:53:	2.16	2.13	20.00	9.82
2023-09-08 12:05:13:	2.78	2.87	20.00	10.54
2023-09-08 12:05:34:	3.53	3.69	20.00	11.04
2023-09-08 12:05:55:	4.28	4.53	20.00	11.19
2023-09-08 12:06:15:	5.08	5.35	20.00	11.13
2023-09-08 12:06:36:	5.85	6.17	20.00	10.85
2023-09-08 12:06:56:	6.58	6.92	20.00	10.59
2023-09-08 12:07:17:	7.29	7.59	20.00	9.24
2023-09-08 12:07:37:	7.88	8.18	20.00	8.60
2023-09-08 12:07:58:	8.42	8.64	20.00	10.36
2023-09-08 12:08:19:	8.85	8.99	20.00	10.81
2023-09-08 12:08:39:	9.28	9.30	20.00	10.24
2023-09-08 12:09:00:	9.63	9.61	20.00	10.06
2023-09-08 12:09:21:	9.95	9.91	20.00	10.28
2023-09-08 12:09:41:	10.23	10.18	20.00	10.49
2023-09-08 12:10:02:	10.52	10.41	20.00	10.82
2023-09-08 12:10:22:	10.77	10.64	20.00	11.11
2023-09-08 12:10:43:	11.01	10.86	20.00	11.53
2023-09-08 12:11:03:	11.25	11.08	20.00	11.91
2023-09-08 12:11:24:	11.50	11.31	20.00	12.31
2023-09-08 12:11:45:	11.74	11.55	20.00	12.71
2023-09-08 12:12:05:	12.01	11.79	20.00	13.09
2023-09-08 12:12:26:	12.33	12.05	20.00	13.42
2023-09-08 12:12:46:	12.52	12.33	20.00	13.69
2023-09-08 12:13:07:	12.80	12.61	20.00	13.96
2023-09-08 12:13:28:	13.07	12.90	20.00	14.11
2023-09-08 12:13:49:	13.36	13.17	20.00	14.22
2023-09-08 12:14:09:	13.62	13.45	20.00	14.31
2023-09-08 12:14:30:	13.89	13.71	20.00	14.30
2023-09-08 12:14:51:	14.14	13.95	20.00	14.34
2023-09-08 12:15:11:	14.38	14.16	20.00	14.35
2023-09-08 12:15:32:	14.58	14.37	20.00	14.39
2023-09-08 12:15:52:	14.77	14.55	20.00	14.43
2023-09-08 12:16:13:	14.96	14.73	20.00	14.54
2023-09-08 12:16:34:	15.10	14.86	20.00	14.62
2023-09-08 12:16:54:	15.27	15.00	20.00	14.76
2023-09-08 12:17:15:	15.41	15.13	20.00	14.89
2023-09-08 12:17:36:	15.54	15.26	20.00	15.09
2023-09-08 12:17:56:	15.66	15.38	20.00	15.27
2023-09-08 12:18:17:	15.79	15.50	20.00	15.50
2023-09-08 12:18:37:	15.93	15.63	20.00	15.68
2023-09-08 12:18:58:	16.08	15.77	20.00	15.83
2023-09-08 12:19:19:	16.21	15.90	20.00	15.98
2023-09-08 12:19:39:	16.35	16.04	20.00	16.11
2023-09-08 12:20:00:	16.48	16.18	20.00	16.24
2023-09-08 12:20:20:	16.63	16.33	20.00	16.31
2023-09-08 12:20:41:	16.77	16.46	20.00	16.41
2023-09-08 12:21:02:	16.90	16.60	20.00	16.45
2023-09-08 12:21:22:	17.04	16.73	20.00	16.46
2023-09-08 12:21:43:	17.16	16.86	20.00	16.48
2023-09-08 12:22:04:	17.29	16.97	20.00	16.52
2023-09-08 12:22:24:	17.39	17.08	20.00	16.59
2023-09-08 12:22:45:	17.50	17.17	20.00	16.62
2023-09-08 12:23:06:	17.59	17.26	20.00	16.64
2023-09-08 12:23:26:	17.67	17.35	20.00	16.72
2023-09-08 12:23:47:	17.76	17.43	20.00	16.73
2023-09-08 12:24:08:	17.84	17.50	20.00	16.80
2023-09-08 12:24:29:	17.92	17.56	20.00	16.88
2023-09-08 12:24:49:	18.00	17.63	20.00	16.96
2023-09-08 12:25:10:	18.05	17.69	20.00	17.03
2023-09-08 12:25:30:	18.12	17.76	20.00	17.16
2023-09-08 12:25:51:	18.19	17.82	20.00	17.24
2023-09-08 12:26:12:	18.26	17.89	20.00	17.33
2023-09-08 12:26:32:	18.34	17.96	20.00	17.37
2023-09-08 12:26:53:	18.41	18.04	20.00	17.43
2023-09-08 12:27:14:	18.48	18.11	20.00	17.49
2023-09-08 12:27:34:	18.54	18.19	20.00	17.55
2023-09-08 12:27:55:	18.62	18.25	20.00	17.57
2023-09-08 12:28:16:	18.69	18.32	20.00	17.61
2023-09-08 12:28:36:	18.76	18.38	20.00	17.58
2023-09-08 12:28:57:	18.81	18.45	20.00	17.62
2023-09-08 12:29:17:	18.87	18.50	20.00	17.64
2023-09-08 12:29:38:	18.92	18.55	20.00	17.64
2023-09-08 12:29:59:	18.97	18.60	20.00	17.67
2023-09-08 12:30:19:	19.02	18.64	20.00	17.67
2023-09-08 12:30:40:	19.08	18.69	20.00	17.74
2023-09-08 12:31:00:	19.10	18.72	20.00	17.78
2023-09-08 12:31:21:	19.14	18.76	20.00	17.78
2023-09-08 12:31:42:	19.18	18.80	20.00	17.81
2023-09-08 12:32:03:	19.21	18.84	20.00	17.86
2023-09-08 12:32:23:	19.25	18.85	20.00	17.90
2023-09-08 12:32:44:	19.28	18.89	20.00	17.96
2023-09-08 12:33:05:	19.31	18.93	20.00	18.00
2023-09-08 12:33:25:	19.34	18.95	20.00	18.02
2023-09-08 12:33:46:	19.38	18.99	20.00	18.06
2023-09-08 12:34:07:	19.42	19.02	20.00	18.13
2023-09-08 12:34:27:	19.46	19.06	20.00	18.09
2023-09-08 12:34:48:	19.49	19.09	20.00	18.17
2023-09-08 12:35:09:	19.51	19.13	20.00	18.17
2023-09-08 12:35:29:	19.55	19.16	20.00	18.20
2023-09-08 12:35:50:	19.59	19.20	20.00	18.22
2023-09-08 12:36:10:	19.61	19.23	20.00	18.22
2023-09-08 12:36:31:	19.65	19.26	20.00	18.21
2023-09-08 12:36:52:	19.67	19.28	20.00	18.18
2023-09-08 12:37:12:	19.70	19.30	20.00	18.21
2023-09-08 12:37:33:	19.71	19.33	20.00	18.23
2023-09-08 12:37:54:	19.74	19.35	20.00	18.25
2023-09-08 12:38:14:	19.75	19.37	20.00	18.24
2023-09-08 12:38:34:	19.77	19.37	20.00	18.28
2023-09-08 12:38:55:	19.79	19.40	20.00	18.28
2023-09-08 12:39:16:	19.81	19.42	20.00	18.37
2023-09-08 12:39:36:	19.83	19.44	20.00	18.37
2023-09-08 12:39:57:	19.84	19.46	20.00	18.36
2023-09-08 12:40:18:	19.88	19.47	20.00	18.37
2023-09-08 12:40:38:	19.89	19.50	20.00	18.40
2023-09-08 12:40:59:	19.92	19.51	20.00	18.39
2023-09-08 12:41:20:	19.93	19.53	20.00	18.38
2023-09-08 12:41:40:	19.95	19.55	20.00	18.43
2023-09-08 12:42:01:	19.96	19.56	20.00	18.41
2023-09-08 12:42:22:	19.97	19.57	20.00	18.42
2023-09-08 12:42:43:	19.99	19.58	20.00	18.41
2023-09-08 12:43:03:	20.01	19.60	20.00	18.43
2023-09-08 12:43:24:	20.02	19.61	20.00	18.44
2023-09-08 12:43:45:	20.02	19.63	20.00	18.44
2023-09-08 12:44:05:	20.04	19.64	20.00	18.46
2023-09-08 12:44:26:	20.05	19.64	20.00	18.51
2023-09-08 12:44:47:	20.07	19.67	20.00	18.50
2023-09-08 12:45:07:	20.07	19.68	20.00	18.52
2023-09-08 12:45:28:	20.08	19.68	20.00	18.52
2023-09-08 12:45:48:	20.10	19.70	20.00	18.52
2023-09-08 12:46:09:	20.11	19.71	20.00	18.51
2023-09-08 12:46:30:	20.12	19.72	20.00	18.55
2023-09-08 12:46:51:	20.13	19.73	20.00	18.55
2023-09-08 12:47:11:	20.13	19.73	20.00	18.52
2023-09-08 12:47:32:	20.14	19.74	20.00	18.56
2023-09-08 12:47:52:	20.15	19.76	20.00	18.56
2023-09-08 12:48:13:	20.16	19.76	20.00	18.56
2023-09-08 12:48:34:	20.16	19.77	20.00	18.57
2023-09-08 12:48:54:	20.18	19.77	20.00	18.60
2023-09-08 12:49:15:	20.18	19.79	20.00	18.60
2023-09-08 12:49:35:	20.19	19.79	20.00	18.61
2023-09-08 12:49:56:	20.20	19.80	20.00	18.62
2023-09-08 12:50:17:	20.21	19.81	20.00	18.62
2023-09-08 12:50:37:	20.21	19.81	20.00	18.58
2023-09-08 12:50:58:	20.22	19.83	20.00	18.63
2023-09-08 12:51:19:	20.22	19.83	20.00	18.61
2023-09-08 12:51:39:	20.24	19.84	20.00	18.65
