			pt1000 - external - setpoint - internal
2022-01-17 13:20:07:	18.48	17.00	15.00	14.97
2022-01-17 13:20:29:	18.47	17.00	15.00	15.00
2022-01-17 13:20:49:	18.47	17.01	15.00	15.00
2022-01-17 13:21:10:	18.48	17.01	15.00	15.02
2022-01-17 13:21:31:	18.46	17.01	15.00	14.99
2022-01-17 13:21:51:	18.46	17.02	15.00	14.91
2022-01-17 13:22:12:	18.46	17.00	15.00	14.75
2022-01-17 13:22:33:	18.45	16.99	15.00	14.52
2022-01-17 13:22:54:	18.45	16.98	15.00	14.31
2022-01-17 13:23:15:	18.44	16.94	15.00	14.10
2022-01-17 13:23:36:	18.41	16.89	15.00	13.96
2022-01-17 13:23:56:	18.39	16.83	-20.00	13.83
2022-01-17 13:24:17:	18.33	16.76	-20.00	13.18
2022-01-17 13:24:38:	18.27	16.68	-20.00	12.29
2022-01-17 13:24:58:	18.20	16.57	-20.00	10.43
2022-01-17 13:25:19:	18.10	16.40	-20.00	7.89
2022-01-17 13:25:41:	17.91	16.12	-20.00	5.15
2022-01-17 13:26:02:	17.67	15.69	-20.00	2.88
2022-01-17 13:26:23:	17.31	15.11	-20.00	1.35
2022-01-17 13:26:44:	16.87	14.35	-20.00	-0.42
2022-01-17 13:27:05:	16.35	13.49	-20.00	-2.31
2022-01-17 13:27:26:	15.71	12.56	-20.00	-3.89
2022-01-17 13:27:46:	15.03	11.58	-20.00	-4.68
2022-01-17 13:28:07:	14.33	10.58	-20.00	-5.96
2022-01-17 13:28:28:	13.57	9.55	-20.00	-6.64
2022-01-17 13:28:49:	12.74	8.51	-20.00	-7.25
2022-01-17 13:29:09:	11.93	7.50	-20.00	-7.85
2022-01-17 13:29:30:	11.10	6.54	-20.00	-8.34
2022-01-17 13:29:51:	10.25	5.63	-20.00	-8.61
2022-01-17 13:30:12:	9.50	4.79	-20.00	-8.89
2022-01-17 13:30:36:	8.58	3.88	-20.00	-9.48
2022-01-17 13:31:00:	7.78	3.08	-20.00	-10.73
2022-01-17 13:31:22:	7.07	2.40	-20.00	-10.83
2022-01-17 13:31:43:	6.41	1.79	-20.00	-11.11
2022-01-17 13:32:04:	5.83	1.20	-20.00	-13.36
2022-01-17 13:32:25:	5.23	0.64	-20.00	-15.10
2022-01-17 13:32:46:	4.66	0.04	-20.00	-16.25
2022-01-17 13:33:06:	4.08	-0.61	-20.00	-16.03
2022-01-17 13:33:27:	3.48	-1.26	-20.00	-14.58
2022-01-17 13:33:48:	2.91	-1.88	-20.00	-15.07
2022-01-17 13:34:09:	2.32	-2.49	-20.00	-16.17
2022-01-17 13:34:29:	1.73	-3.00	-20.00	-17.21
2022-01-17 13:34:50:	1.22	-3.49	-20.00	-18.94
2022-01-17 13:35:11:	0.78	-3.99	-20.00	-19.37
2022-01-17 13:35:35:	0.18	-4.61	-20.00	-17.73
2022-01-17 13:35:59:	-0.38	-5.19	-20.00	-17.76
2022-01-17 13:36:21:	-0.88	-5.68	-20.00	-18.56
2022-01-17 13:36:43:	-1.34	-6.10	-20.00	-20.91
2022-01-17 13:37:05:	-1.76	-6.51	-20.00	-22.12
2022-01-17 13:37:26:	-2.19	-6.92	-20.00	-20.56
2022-01-17 13:37:48:	-2.63	-7.36	-20.00	-19.51
2022-01-17 13:38:09:	-3.01	-7.79	-20.00	-21.04
2022-01-17 13:38:30:	-3.39	-8.15	-20.00	-22.22
2022-01-17 13:38:51:	-3.72	-8.45	-20.00	-22.54
