			pt1000 - external - setpoint - internal
2023-09-06 10:24:09:	-18.82	-19.17	0.00	-29.09
2023-09-06 10:24:30:	-18.81	-19.14	0.00	-30.21
2023-09-06 10:24:51:	-18.70	-19.10	0.00	-29.64
2023-09-06 10:25:11:	-18.75	-19.12	0.00	-26.45
2023-09-06 10:25:32:	-18.70	-19.17	0.00	-23.15
2023-09-06 10:25:52:	-18.76	-19.20	0.00	-22.52
2023-09-06 10:26:13:	-18.72	-19.14	0.00	-20.47
2023-09-06 10:26:34:	-18.57	-18.95	0.00	-20.08
2023-09-06 10:26:54:	-18.28	-18.63	0.00	-16.94
2023-09-06 10:27:15:	-17.95	-18.20	0.00	-16.45
2023-09-06 10:27:36:	-17.55	-17.64	0.00	-15.41
2023-09-06 10:27:56:	-17.07	-17.02	0.00	-13.44
2023-09-06 10:28:17:	-16.45	-16.33	0.00	-13.61
2023-09-06 10:28:37:	-15.85	-15.62	0.00	-12.16
2023-09-06 10:28:58:	-15.13	-14.86	0.00	-13.30
2023-09-06 10:29:19:	-14.50	-14.12	0.00	-12.81
2023-09-06 10:29:39:	-13.73	-13.37	0.00	-13.05
2023-09-06 10:30:00:	-13.08	-12.69	0.00	-13.62
2023-09-06 10:30:21:	-12.42	-12.10	0.00	-14.00
2023-09-06 10:30:41:	-11.84	-11.56	0.00	-14.33
2023-09-06 10:31:02:	-11.37	-11.08	0.00	-14.34
2023-09-06 10:31:23:	-10.93	-10.67	0.00	-13.75
2023-09-06 10:31:43:	-10.45	-10.33	0.00	-14.15
2023-09-06 10:32:04:	-10.06	-10.03	0.00	-14.65
2023-09-06 10:32:24:	-9.86	-9.76	0.00	-14.68
2023-09-06 10:32:45:	-9.51	-9.52	0.00	-14.65
2023-09-06 10:33:06:	-9.25	-9.35	0.00	-11.70
2023-09-06 10:33:26:	-8.97	-9.17	0.00	-11.70
2023-09-06 10:33:47:	-8.82	-8.98	0.00	-13.68
2023-09-06 10:34:07:	-8.60	-8.74	0.00	-13.77
2023-09-06 10:34:28:	-8.26	-8.54	0.00	-11.35
2023-09-06 10:34:49:	-8.10	-8.35	0.00	-9.39
2023-09-06 10:35:10:	-7.91	-8.13	0.00	-9.91
2023-09-06 10:35:30:	-7.75	-7.89	0.00	-10.45
2023-09-06 10:35:51:	-7.45	-7.60	0.00	-10.13
2023-09-06 10:36:12:	-7.21	-7.37	0.00	-9.36
2023-09-06 10:36:32:	-6.97	-7.12	0.00	-9.01
2023-09-06 10:36:53:	-6.73	-6.90	0.00	-9.47
2023-09-06 10:37:14:	-6.50	-6.66	0.00	-9.52
2023-09-06 10:37:34:	-6.24	-6.44	0.00	-9.06
2023-09-06 10:37:55:	-5.96	-6.20	0.00	-8.92
2023-09-06 10:38:16:	-5.84	-6.01	0.00	-8.57
2023-09-06 10:38:36:	-5.66	-5.85	0.00	-8.39
2023-09-06 10:38:57:	-5.43	-5.69	0.00	-8.52
2023-09-06 10:39:17:	-5.31	-5.52	0.00	-8.50
2023-09-06 10:39:38:	-5.13	-5.35	0.00	-8.41
2023-09-06 10:39:58:	-4.94	-5.23	0.00	-8.26
2023-09-06 10:40:19:	-4.81	-5.10	0.00	-8.18
2023-09-06 10:40:40:	-4.66	-5.00	0.00	-7.83
2023-09-06 10:41:00:	-4.60	-4.89	0.00	-7.58
2023-09-06 10:41:21:	-4.44	-4.79	0.00	-7.42
2023-09-06 10:41:41:	-4.36	-4.67	0.00	-7.20
2023-09-06 10:42:02:	-4.23	-4.54	0.00	-7.27
2023-09-06 10:42:23:	-4.02	-4.41	0.00	-7.17
2023-09-06 10:42:43:	-4.01	-4.25	0.00	-7.19
2023-09-06 10:43:04:	-3.79	-4.12	0.00	-7.25
2023-09-06 10:43:25:	-3.63	-3.96	0.00	-6.92
2023-09-06 10:43:45:	-3.53	-3.79	0.00	-6.90
2023-09-06 10:44:06:	-3.34	-3.59	0.00	-6.60
2023-09-06 10:44:27:	-3.06	-3.39	0.00	-6.23
2023-09-06 10:44:47:	-2.92	-3.18	0.00	-6.04
2023-09-06 10:45:07:	-2.65	-2.96	0.00	-4.95
2023-09-06 10:45:28:	-2.47	-2.73	0.00	-4.32
2023-09-06 10:45:48:	-2.28	-2.52	0.00	-5.00
2023-09-06 10:46:09:	-2.07	-2.34	0.00	-7.70
2023-09-06 10:46:30:	-2.01	-2.21	0.00	-8.33
2023-09-06 10:46:50:	-1.86	-2.16	0.00	-8.25
2023-09-06 10:47:11:	-1.85	-2.19	0.00	-7.06
2023-09-06 10:47:32:	-1.90	-2.27	0.00	-5.26
2023-09-06 10:47:52:	-1.83	-2.32	0.00	-4.68
2023-09-06 10:48:13:	-1.88	-2.32	0.00	-5.80
2023-09-06 10:48:33:	-1.83	-2.30	0.00	-5.98
2023-09-06 10:48:54:	-1.87	-2.27	0.00	-5.94
2023-09-06 10:49:15:	-1.81	-2.25	0.00	-5.21
2023-09-06 10:49:35:	-1.81	-2.25	0.00	-5.35
2023-09-06 10:49:56:	-1.83	-2.25	0.00	-5.93
2023-09-06 10:50:17:	-1.76	-2.22	0.00	-5.05
2023-09-06 10:50:37:	-1.77	-2.17	0.00	-5.67
2023-09-06 10:50:58:	-1.71	-2.10	0.00	-5.10
2023-09-06 10:51:18:	-1.65	-2.02	0.00	-4.10
2023-09-06 10:51:39:	-1.55	-1.93	0.00	-5.09
2023-09-06 10:51:59:	-1.41	-1.81	0.00	-4.60
2023-09-06 10:52:20:	-1.36	-1.70	0.00	-5.70
2023-09-06 10:52:40:	-1.26	-1.60	0.00	-5.02
2023-09-06 10:53:01:	-1.16	-1.51	0.00	-3.99
2023-09-06 10:53:22:	-1.09	-1.43	0.00	-5.59
2023-09-06 10:53:43:	-0.97	-1.34	0.00	-4.84
2023-09-06 10:54:04:	-0.91	-1.26	0.00	-4.98
2023-09-06 10:54:24:	-0.83	-1.21	0.00	-5.23
2023-09-06 10:54:45:	-0.83	-1.14	0.00	-5.45
2023-09-06 10:55:06:	-0.67	-1.09	0.00	-5.40
2023-09-06 10:55:26:	-0.66	-1.05	0.00	-4.29
2023-09-06 10:55:47:	-0.65	-1.00	0.00	-5.21
2023-09-06 10:56:08:	-0.55	-0.95	0.00	-5.16
2023-09-06 10:56:29:	-0.53	-0.90	0.00	-5.51
2023-09-06 10:56:50:	-0.43	-0.88	0.00	-5.50
2023-09-06 10:57:10:	-0.45	-0.85	0.00	-4.95
2023-09-06 10:57:31:	-0.37	-0.83	0.00	-4.23
2023-09-06 10:57:52:	-0.34	-0.79	0.00	-5.27
2023-09-06 10:58:12:	-0.32	-0.74	0.00	-5.40
2023-09-06 10:58:33:	-0.28	-0.69	0.00	-5.54
2023-09-06 10:58:54:	-0.15	-0.66	0.00	-4.73
2023-09-06 10:59:15:	-0.19	-0.64	0.00	-4.46
2023-09-06 10:59:36:	-0.22	-0.61	0.00	-5.32
2023-09-06 10:59:56:	-0.19	-0.58	0.00	-5.61
2023-09-06 11:00:17:	-0.13	-0.54	0.00	-4.92
2023-09-06 11:00:38:	-0.14	-0.53	0.00	-4.55
2023-09-06 11:00:58:	-0.06	-0.52	0.00	-5.26
2023-09-06 11:01:19:	-0.09	-0.51	0.00	-5.27
2023-09-06 11:01:40:	-0.04	-0.49	0.00	-4.71
2023-09-06 11:02:01:	-0.06	-0.49	0.00	-4.35
2023-09-06 11:02:21:	-0.03	-0.50	0.00	-4.95
2023-09-06 11:02:42:	-0.04	-0.49	0.00	-5.20
2023-09-06 11:03:02:	-0.11	-0.50	0.00	-4.88
2023-09-06 11:03:23:	-0.10	-0.51	0.00	-4.56
2023-09-06 11:03:44:	-0.08	-0.54	0.00	-4.44
2023-09-06 11:04:04:	-0.12	-0.56	0.00	-4.38
2023-09-06 11:04:25:	-0.14	-0.59	0.00	-4.51
2023-09-06 11:04:46:	-0.14	-0.60	0.00	-4.66
2023-09-06 11:05:06:	-0.17	-0.60	0.00	-4.80
2023-09-06 11:05:27:	-0.20	-0.63	0.00	-5.30
2023-09-06 11:05:47:	-0.17	-0.65	0.00	-5.11
2023-09-06 11:06:09:	-0.23	-0.68	0.00	-5.45
2023-09-06 11:06:30:	-0.22	-0.67	0.00	-5.52
2023-09-06 11:06:50:	-0.21	-0.66	0.00	-5.08
2023-09-06 11:07:11:	-0.16	-0.62	0.00	-4.49
2023-09-06 11:07:31:	-0.12	-0.54	0.00	-4.00
2023-09-06 11:07:52:	0.02	-0.45	0.00	-3.84
2023-09-06 11:08:13:	0.06	-0.33	0.00	-3.11
2023-09-06 11:08:34:	0.19	-0.20	0.00	-3.15
2023-09-06 11:08:54:	0.29	-0.05	0.00	-4.43
2023-09-06 11:09:15:	0.35	0.06	0.00	-4.03
2023-09-06 11:09:36:	0.45	0.10	0.00	-4.98
2023-09-06 11:09:57:	0.45	0.11	0.00	-4.47
2023-09-06 11:10:17:	0.48	0.09	0.00	-4.06
2023-09-06 11:10:38:	0.46	0.06	0.00	-4.54
2023-09-06 11:10:59:	0.45	0.02	0.00	-5.61
2023-09-06 11:11:20:	0.37	-0.04	0.00	-4.78
2023-09-06 11:11:41:	0.37	-0.11	0.00	-5.46
2023-09-06 11:12:02:	0.28	-0.20	0.00	-5.22
2023-09-06 11:12:22:	0.23	-0.28	0.00	-5.54
2023-09-06 11:12:43:	0.16	-0.35	0.00	-4.67
2023-09-06 11:13:04:	0.11	-0.41	0.00	-4.03
2023-09-06 11:13:25:	0.06	-0.44	0.00	-4.11
2023-09-06 11:13:46:	0.02	-0.42	0.00	-3.39
2023-09-06 11:14:07:	0.06	-0.38	0.00	-3.49
2023-09-06 11:14:28:	0.07	-0.34	0.00	-5.35
2023-09-06 11:14:49:	0.13	-0.30	0.00	-4.88
2023-09-06 11:15:10:	0.16	-0.26	0.00	-3.17
2023-09-06 11:15:31:	0.22	-0.23	0.00	-4.55
2023-09-06 11:15:52:	0.17	-0.20	0.00	-4.50
2023-09-06 11:16:13:	0.26	-0.15	0.00	-4.49
2023-09-06 11:16:34:	0.26	-0.12	0.00	-3.94
