			pt1000 - external - setpoint - internal
2023-09-12 09:32:20:	20.77	20.08	20.00	18.47
2023-09-12 09:32:40:	20.82	20.06	20.00	18.47
2023-09-12 09:33:01:	20.76	20.04	20.00	18.42
2023-09-12 09:33:22:	20.74	20.02	20.00	18.45
2023-09-12 09:33:42:	20.71	20.00	20.00	18.47
2023-09-12 09:34:03:	20.71	19.99	20.00	18.53
2023-09-12 09:34:23:	20.66	19.98	20.00	18.57
2023-09-12 09:34:44:	20.62	19.98	20.00	18.59
2023-09-12 09:35:05:	20.60	19.96	20.00	18.62
2023-09-12 09:35:26:	20.58	19.94	20.00	18.64
2023-09-12 09:35:47:	20.56	19.95	20.00	18.67
2023-09-12 09:36:08:	20.55	19.95	20.00	18.72
2023-09-12 09:36:29:	20.55	19.95	20.00	18.72
2023-09-12 09:36:51:	20.56	19.97	20.00	18.75
2023-09-12 09:37:12:	20.55	19.98	20.00	18.73
2023-09-12 09:37:33:	20.55	20.00	20.00	18.72
2023-09-12 09:37:54:	20.56	20.01	20.00	18.70
2023-09-12 09:38:15:	20.57	20.01	20.00	18.64

 END: Keyboard Interrupt (or some other exception)

