			pt1000 - external - setpoint - internal
2023-09-07 09:56:55:	0.13	-0.32	0.00	-4.44
2023-09-07 09:57:17:	0.16	-0.27	0.00	-4.01
2023-09-07 09:57:38:	0.24	-0.17	0.00	-3.55
2023-09-07 09:57:59:	0.31	-0.06	0.00	-2.95
2023-09-07 09:58:20:	0.43	0.08	0.00	-2.87
2023-09-07 09:58:41:	0.55	0.19	0.00	-4.10
2023-09-07 09:59:03:	0.62	0.28	0.00	-4.27
2023-09-07 09:59:24:	0.72	0.34	0.00	-4.79
2023-09-07 09:59:45:	0.71	0.36	0.00	-3.94
2023-09-07 10:00:06:	0.71	0.36	0.00	-4.32
2023-09-07 10:00:28:	0.71	0.33	0.00	-4.22
2023-09-07 10:00:49:	0.69	0.31	0.00	-5.29
2023-09-07 10:01:10:	0.68	0.25	0.00	-4.68
2023-09-07 10:01:31:	0.62	0.18	0.00	-5.08
2023-09-07 10:01:52:	0.61	0.09	0.00	-5.04
2023-09-07 10:02:13:	0.47	-0.01	0.00	-3.92
2023-09-07 10:02:34:	0.41	-0.08	0.00	-4.63
2023-09-07 10:02:55:	0.30	-0.15	0.00	-5.66
2023-09-07 10:03:17:	0.28	-0.20	0.00	-4.86
2023-09-07 10:03:38:	0.22	-0.24	0.00	-3.82
2023-09-07 10:03:58:	0.21	-0.28	0.00	-4.19
2023-09-07 10:04:19:	0.18	-0.28	0.00	-3.00
2023-09-07 10:04:40:	0.14	-0.26	0.00	-4.54
2023-09-07 10:05:01:	0.20	-0.21	0.00	-5.46
2023-09-07 10:05:23:	0.23	-0.16	0.00	-4.44
2023-09-07 10:05:44:	0.24	-0.14	0.00	-2.67
2023-09-07 10:06:05:	0.27	-0.10	0.00	-3.37
2023-09-07 10:06:26:	0.32	-0.06	0.00	-4.08
2023-09-07 10:06:47:	0.37	0.02	0.00	-4.12
2023-09-07 10:07:08:	0.39	0.04	0.00	-4.51
2023-09-07 10:07:29:	0.43	0.08	0.00	-4.45
2023-09-07 10:07:50:	0.48	0.10	0.00	-3.83
2023-09-07 10:08:11:	0.57	0.12	0.00	-3.85
2023-09-07 10:08:32:	0.58	0.15	0.00	-4.52
2023-09-07 10:08:54:	0.57	0.19	0.00	-3.91
2023-09-07 10:09:15:	0.54	0.19	0.00	-4.19
2023-09-07 10:09:37:	0.60	0.17	0.00	-4.43
2023-09-07 10:09:58:	0.57	0.15	0.00	-4.45
2023-09-07 10:10:19:	0.57	0.10	0.00	-4.99
2023-09-07 10:10:41:	0.48	0.06	0.00	-5.65
2023-09-07 10:11:02:	0.44	-0.02	0.00	-4.96
2023-09-07 10:11:23:	0.35	-0.06	0.00	-4.31
2023-09-07 10:11:44:	0.34	-0.12	0.00	-4.49
2023-09-07 10:12:06:	0.34	-0.15	0.00	-4.93
2023-09-07 10:12:27:	0.31	-0.15	0.00	-4.30
2023-09-07 10:12:48:	0.28	-0.14	0.00	-3.63
2023-09-07 10:13:09:	0.29	-0.12	0.00	-5.08
2023-09-07 10:13:29:	0.34	-0.09	0.00	-3.95
2023-09-07 10:13:51:	0.39	-0.06	0.00	-4.02
2023-09-07 10:14:12:	0.40	-0.05	0.00	-4.10
2023-09-07 10:14:33:	0.45	-0.03	0.00	-4.63
2023-09-07 10:14:54:	0.42	0.02	0.00	-4.71
2023-09-07 10:15:16:	0.52	0.04	0.00	-4.10
2023-09-07 10:15:37:	0.52	0.10	0.00	-4.13
2023-09-07 10:15:58:	0.55	0.13	0.00	-4.33
2023-09-07 10:16:20:	0.59	0.17	0.00	-4.89
2023-09-07 10:16:41:	0.65	0.20	0.00	-4.93
2023-09-07 10:17:02:	0.59	0.23	0.00	-5.00
2023-09-07 10:17:24:	0.63	0.23	0.00	-4.72
2023-09-07 10:17:45:	0.66	0.23	0.00	-4.59
2023-09-07 10:18:06:	0.63	0.22	0.00	-4.81
2023-09-07 10:18:27:	0.58	0.20	0.00	-4.87
