			pt1000 - external - setpoint - internal
2021-11-08 22:02:15:	14.32	13.79	15.00	11.95
2021-11-08 22:02:36:	14.47	13.88	15.00	11.83
2021-11-08 22:02:57:	14.54	13.93	15.00	11.77
2021-11-08 22:03:18:	14.56	13.98	15.00	11.56
2021-11-08 22:03:38:	14.60	13.97	15.00	11.51
2021-11-08 22:03:59:	14.60	13.95	15.00	11.48
2021-11-08 22:04:20:	14.60	13.94	15.00	11.57
2021-11-08 22:04:40:	14.60	13.91	15.00	11.63
2021-11-08 22:05:01:	14.61	13.89	15.00	11.72
2021-11-08 22:05:22:	14.61	13.90	15.00	11.81
2021-11-08 22:05:42:	14.63	13.94	15.00	11.95
2021-11-08 22:06:03:	14.64	13.95	15.00	12.05
2021-11-08 22:06:24:	14.65	13.99	15.00	12.21
2021-11-08 22:06:44:	14.66	14.02	15.00	12.26
2021-11-08 22:07:05:	14.71	14.10	15.00	12.27
2021-11-08 22:07:26:	14.75	14.14	15.00	12.19
2021-11-08 22:07:47:	14.78	14.17	15.00	12.19
2021-11-08 22:08:08:	14.82	14.21	15.00	12.13
2021-11-08 22:08:28:	14.86	14.23	15.00	12.13
2021-11-08 22:08:50:	14.89	14.27	15.00	12.12
2021-11-08 22:09:11:	14.91	14.29	15.00	12.15
2021-11-08 22:09:32:	14.94	14.30	15.00	12.16
2021-11-08 22:09:54:	14.95	14.30	15.00	12.19
2021-11-08 22:10:15:	14.97	14.32	15.00	12.22
2021-11-08 22:10:36:	14.98	14.35	15.00	12.26
2021-11-08 22:10:58:	15.00	14.36	15.00	12.30
2021-11-08 22:11:19:	15.01	14.37	15.00	12.32
2021-11-08 22:11:40:	15.02	14.38	15.00	12.33
2021-11-08 22:12:01:	15.04	14.39	15.00	12.39
2021-11-08 22:12:22:	15.05	14.40	15.00	12.43
2021-11-08 22:12:43:	15.07	14.42	15.00	12.49
2021-11-08 22:13:05:	15.08	14.44	15.00	12.50
2021-11-08 22:13:26:	15.10	14.45	15.00	12.51
2021-11-08 22:13:47:	15.11	14.48	-20.00	12.54
2021-11-08 22:14:07:	15.14	14.51	-20.00	11.94
2021-11-08 22:14:28:	15.16	14.55	-20.00	11.12
2021-11-08 22:14:49:	15.16	14.55	-20.00	9.59
2021-11-08 22:15:10:	15.13	14.51	-20.00	7.26
2021-11-08 22:15:31:	15.02	14.36	-20.00	4.57
2021-11-08 22:15:51:	14.83	14.08	-20.00	2.10
2021-11-08 22:16:12:	14.50	13.64	-20.00	0.15
2021-11-08 22:16:33:	14.06	13.00	-20.00	-1.75
2021-11-08 22:16:54:	13.51	12.24	-20.00	-3.49
2021-11-08 22:17:14:	12.86	11.42	-20.00	-4.66
2021-11-08 22:17:35:	12.15	10.52	-20.00	-6.15
2021-11-08 22:17:56:	11.35	9.57	-20.00	-7.43
2021-11-08 22:18:17:	10.53	8.59	-20.00	-8.46
2021-11-08 22:18:37:	9.67	7.61	-20.00	-9.18
2021-11-08 22:18:58:	8.78	6.62	-20.00	-9.47
2021-11-08 22:19:19:	7.90	5.66	-20.00	-10.27
2021-11-08 22:19:39:	7.02	4.72	-20.00	-10.52
2021-11-08 22:20:00:	6.18	3.83	-20.00	-10.84
2021-11-08 22:20:21:	5.38	3.00	-20.00	-11.02
2021-11-08 22:20:42:	4.61	2.28	-20.00	-11.15
2021-11-08 22:21:03:	3.90	1.62	-20.00	-11.35
2021-11-08 22:21:23:	3.26	1.04	-20.00	-11.45
2021-11-08 22:21:44:	2.66	0.53	-20.00	-12.46
2021-11-08 22:22:05:	2.12	0.04	-20.00	-14.65
2021-11-08 22:22:26:	1.53	-0.49	-20.00	-16.45
2021-11-08 22:22:47:	1.00	-1.01	-20.00	-16.70
2021-11-08 22:23:08:	0.43	-1.62	-20.00	-17.13
2021-11-08 22:23:29:	-0.13	-2.25	-20.00	-16.17
2021-11-08 22:23:49:	-0.69	-2.77	-20.00	-16.13
2021-11-08 22:24:10:	-1.24	-3.28	-20.00	-16.83
2021-11-08 22:24:30:	-1.72	-3.75	-20.00	-18.36
2021-11-08 22:24:51:	-2.19	-4.21	-20.00	-19.40
2021-11-08 22:25:12:	-2.63	-4.67	-20.00	-20.17
2021-11-08 22:25:32:	-3.11	-5.20	-20.00	-21.74
2021-11-08 22:25:53:	-3.59	-5.69	-20.00	-20.80
2021-11-08 22:26:13:	-4.06	-6.20	-20.00	-19.05
2021-11-08 22:26:34:	-4.55	-6.68	-20.00	-19.25
2021-11-08 22:26:54:	-4.99	-7.07	-20.00	-21.12
2021-11-08 22:27:15:	-5.36	-7.46	-20.00	-21.83
2021-11-08 22:27:36:	-5.74	-7.82	-20.00	-22.01
2021-11-08 22:27:56:	-6.18	-8.17	-20.00	-22.19
2021-11-08 22:28:17:	-6.56	-8.57	-20.00	-22.41
2021-11-08 22:28:38:	-6.88	-8.92	-20.00	-22.66
2021-11-08 22:28:58:	-7.22	-9.29	-20.00	-22.01
2021-11-08 22:29:19:	-7.59	-9.62	-20.00	-22.33
2021-11-08 22:29:39:	-7.87	-9.89	-20.00	-23.21
2021-11-08 22:30:00:	-8.23	-10.23	-20.00	-24.16
2021-11-08 22:30:21:	-8.53	-10.52	-20.00	-24.44
