			pt1000 - external - setpoint - internal
2023-08-31 13:22:28:	21.96	21.57	20.00	19.94
2023-08-31 13:22:49:	21.92	21.52	20.00	19.87
2023-08-31 13:23:10:	21.87	21.48	20.00	19.82
2023-08-31 13:23:30:	21.82	21.43	20.00	19.76
2023-08-31 13:23:51:	21.77	21.39	20.00	19.77
2023-08-31 13:24:12:	21.73	21.35	20.00	19.72
2023-08-31 13:24:32:	21.69	21.31	20.00	19.67
2023-08-31 13:24:53:	21.64	21.27	20.00	19.62
2023-08-31 13:25:14:	21.60	21.22	20.00	19.58
2023-08-31 13:25:34:	21.56	21.18	20.00	19.54
2023-08-31 13:25:55:	21.52	21.14	20.00	19.55
2023-08-31 13:26:16:	21.48	21.11	20.00	19.54
2023-08-31 13:26:36:	21.44	21.07	20.00	19.51
2023-08-31 13:26:57:	21.40	21.03	20.00	19.48
2023-08-31 13:27:18:	21.37	21.00	20.00	19.45
2023-08-31 13:27:38:	21.34	20.96	20.00	19.43
2023-08-31 13:27:59:	21.30	20.93	20.00	19.39
2023-08-31 13:28:20:	21.28	20.90	20.00	19.37
2023-08-31 13:28:41:	21.24	20.87	20.00	19.32
2023-08-31 13:29:02:	21.22	20.84	20.00	19.33
2023-08-31 13:29:23:	21.18	20.81	20.00	19.30
2023-08-31 13:29:44:	21.16	20.79	20.00	19.31
2023-08-31 13:30:05:	21.13	20.76	20.00	19.29
2023-08-31 13:30:26:	21.10	20.73	20.00	19.25
2023-08-31 13:30:46:	21.08	20.71	20.00	19.21
2023-08-31 13:31:07:	21.06	20.69	20.00	19.22
2023-08-31 13:31:28:	21.05	20.67	20.00	19.21
2023-08-31 13:31:48:	21.02	20.67	20.00	19.18
2023-08-31 13:32:09:	21.02	20.63	20.00	19.16
2023-08-31 13:32:29:	21.00	20.63	20.00	19.11
2023-08-31 13:32:50:	20.97	20.62	20.00	19.07
2023-08-31 13:33:11:	20.94	20.59	20.00	19.05
2023-08-31 13:33:31:	20.92	20.56	20.00	19.01
2023-08-31 13:33:52:	20.91	20.54	20.00	19.00
2023-08-31 13:34:13:	20.88	20.52	20.00	19.00
2023-08-31 13:34:34:	20.86	20.49	-20.00	18.98
2023-08-31 13:34:54:	20.84	20.47	-20.00	17.84
2023-08-31 13:35:15:	20.81	20.43	-20.00	16.66
2023-08-31 13:35:36:	20.73	20.37	-20.00	14.16
2023-08-31 13:35:56:	20.58	20.21	-20.00	11.41
2023-08-31 13:36:17:	20.32	19.93	-20.00	8.81
2023-08-31 13:36:38:	19.91	19.45	-20.00	6.76
2023-08-31 13:36:58:	19.37	18.82	-20.00	5.16
2023-08-31 13:37:19:	18.72	18.05	-20.00	3.90
2023-08-31 13:37:40:	17.97	17.18	-20.00	1.89
2023-08-31 13:38:00:	17.14	16.25	-20.00	0.05
2023-08-31 13:38:21:	16.26	15.28	-20.00	-1.40
2023-08-31 13:38:42:	15.34	14.29	-20.00	-2.21
2023-08-31 13:39:02:	14.37	13.25	-20.00	-3.16
2023-08-31 13:39:23:	13.39	12.21	-20.00	-4.71
2023-08-31 13:39:44:	12.39	11.16	-20.00	-5.56
2023-08-31 13:40:04:	11.41	10.14	-20.00	-6.47
2023-08-31 13:40:25:	10.41	9.09	-20.00	-7.42
2023-08-31 13:40:46:	9.45	8.12	-20.00	-7.64
2023-08-31 13:41:06:	8.52	7.19	-20.00	-8.05
2023-08-31 13:41:27:	7.63	6.29	-20.00	-8.27
2023-08-31 13:41:48:	6.76	5.46	-20.00	-8.35
2023-08-31 13:42:08:	5.95	4.69	-20.00	-9.33
2023-08-31 13:42:29:	5.20	3.97	-20.00	-10.55
2023-08-31 13:42:49:	4.47	3.29	-20.00	-11.72
2023-08-31 13:43:10:	3.75	2.62	-20.00	-12.50
