			pt1000 - external - setpoint - internal
2023-09-05 12:40:04:	18.12	17.61	15.00	14.36
2023-09-05 12:40:25:	18.01	17.47	15.00	14.19
2023-09-05 12:40:46:	17.88	17.32	15.00	14.21
2023-09-05 12:41:06:	17.74	17.17	15.00	14.38
2023-09-05 12:41:27:	17.59	17.03	15.00	14.60
2023-09-05 12:41:48:	17.53	16.92	15.00	14.64
2023-09-05 12:42:09:	17.45	16.89	15.00	14.63
2023-09-05 12:42:30:	17.34	16.81	15.00	14.54
2023-09-05 12:42:51:	17.31	16.74	15.00	14.47
2023-09-05 12:43:12:	17.29	16.72	15.00	14.38
2023-09-05 12:43:32:	17.27	16.66	15.00	14.35
2023-09-05 12:43:53:	17.21	16.59	15.00	14.22
2023-09-05 12:44:14:	17.11	16.52	15.00	14.14
2023-09-05 12:44:35:	17.05	16.45	-20.00	14.10
2023-09-05 12:44:56:	16.98	16.39	-20.00	13.68
2023-09-05 12:45:17:	16.90	16.32	-20.00	12.71
2023-09-05 12:45:38:	16.82	16.25	-20.00	11.43
2023-09-05 12:45:59:	16.70	16.14	-20.00	9.32
2023-09-05 12:46:19:	16.52	15.95	-20.00	6.69
2023-09-05 12:46:40:	16.24	15.65	-20.00	4.26
2023-09-05 12:47:01:	15.86	15.20	-20.00	2.15
2023-09-05 12:47:22:	15.33	14.60	-20.00	-0.02
2023-09-05 12:47:43:	14.70	13.86	-20.00	-1.46
2023-09-05 12:48:04:	13.98	13.02	-20.00	-3.18
2023-09-05 12:48:25:	13.14	12.08	-20.00	-4.40
2023-09-05 12:48:47:	12.23	11.08	-20.00	-6.19
2023-09-05 12:49:08:	11.30	10.07	-20.00	-6.80
2023-09-05 12:49:29:	10.33	9.02	-20.00	-7.96
2023-09-05 12:49:50:	9.33	7.97	-20.00	-9.03
2023-09-05 12:50:11:	8.33	6.94	-20.00	-9.15
2023-09-05 12:50:33:	7.36	5.97	-20.00	-8.85
2023-09-05 12:50:53:	6.46	5.06	-20.00	-8.84
2023-09-05 12:51:14:	5.59	4.22	-20.00	-9.60
2023-09-05 12:51:35:	4.77	3.44	-20.00	-10.23
2023-09-05 12:51:56:	4.02	2.76	-20.00	-11.05
2023-09-05 12:52:16:	3.33	2.10	-20.00	-12.15
2023-09-05 12:52:37:	2.65	1.47	-20.00	-12.62
2023-09-05 12:52:58:	2.01	0.86	-20.00	-13.28
2023-09-05 12:53:19:	1.38	0.26	-20.00	-13.66
2023-09-05 12:53:40:	0.82	-0.34	-20.00	-13.84
2023-09-05 12:54:01:	0.24	-0.89	-20.00	-14.25
2023-09-05 12:54:22:	-0.34	-1.40	-20.00	-16.05
2023-09-05 12:54:42:	-0.84	-1.92	-20.00	-16.94
2023-09-05 12:55:03:	-1.44	-2.47	-20.00	-18.70
2023-09-05 12:55:24:	-1.98	-3.03	-20.00	-18.57
2023-09-05 12:55:44:	-2.57	-3.62	-20.00	-18.15
2023-09-05 12:56:05:	-3.16	-4.21	-20.00	-18.85
2023-09-05 12:56:26:	-3.68	-4.77	-20.00	-17.56
