			pt1000 - external - setpoint - internal
2021-11-10 08:29:17:	14.18	13.71	20.00	13.56
2021-11-10 08:29:38:	14.39	13.89	20.00	13.64
2021-11-10 08:29:59:	14.59	14.15	20.00	13.76
2021-11-10 08:30:19:	14.73	14.30	20.00	13.88
2021-11-10 08:30:40:	14.92	14.48	20.00	13.98
2021-11-10 08:31:01:	15.09	14.62	20.00	14.12
2021-11-10 08:31:22:	15.23	14.77	20.00	14.28
2021-11-10 08:31:43:	15.38	14.91	20.00	14.47
2021-11-10 08:32:03:	15.54	15.04	20.00	14.67
2021-11-10 08:32:24:	15.69	15.19	20.00	14.89
2021-11-10 08:32:45:	15.83	15.32	20.00	15.09
2021-11-10 08:33:06:	15.98	15.47	20.00	15.27
2021-11-10 08:33:26:	16.14	15.62	20.00	15.43
2021-11-10 08:33:47:	16.29	15.79	20.00	15.57
2021-11-10 08:34:08:	16.44	15.94	20.00	15.68
2021-11-10 08:34:29:	16.59	16.10	20.00	15.75
2021-11-10 08:34:50:	16.74	16.24	20.00	15.81
2021-11-10 08:35:11:	16.88	16.40	20.00	15.85
2021-11-10 08:35:31:	17.01	16.53	20.00	15.87
2021-11-10 08:35:52:	17.14	16.65	20.00	15.91
2021-11-10 08:36:13:	17.26	16.76	20.00	15.93
2021-11-10 08:36:35:	17.38	16.87	20.00	15.98
2021-11-10 08:36:56:	17.48	16.97	10.00	16.05
2021-11-10 08:37:18:	17.58	17.05	10.00	16.11
2021-11-10 08:37:39:	17.67	17.13	10.00	16.16
2021-11-10 08:38:00:	17.75	17.22	10.00	16.20
2021-11-10 08:38:21:	17.83	17.29	10.00	16.24
2021-11-10 08:38:42:	17.90	17.37	10.00	16.29
2021-11-10 08:39:03:	17.98	17.43	10.00	16.33
2021-11-10 08:39:23:	18.04	17.49	10.00	16.37
2021-11-10 08:39:44:	18.10	17.55	10.00	16.43
2021-11-10 08:40:05:	18.16	17.62	-20.00	16.48
2021-11-10 08:40:26:	18.23	17.66	-20.00	16.52
2021-11-10 08:40:46:	18.28	17.72	-20.00	16.58
2021-11-10 08:41:07:	18.34	17.78	-20.00	16.61

 END: Keyboard Interrupt (or some other exception)

