# Single CRV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      5.00E-06 A
# LCR measurement voltage:         1.00E+00 V
# LCR measurement frequency:       1.00E+06 Hz
# Voltage Delay:                      10.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-3.70000E+02	-3.69980E+02	1.00000E+06	2.85301E-01	1.77600E-03	-3.95971E+03	3.59166E-03	4.01936E-11	4.01936E-11	5.01866E-10
-3.80000E+02	-3.79975E+02	1.00000E+06	3.01063E-01	1.12540E-03	-3.95970E+03	2.54951E-03	4.01937E-11	4.01937E-11	3.91686E-10
-3.90000E+02	-3.89979E+02	1.00000E+06	2.97978E-01	2.98274E-03	-3.95970E+03	3.94968E-03	4.01937E-11	4.01937E-11	3.06653E-10
-4.00000E+02	-3.99967E+02	1.00000E+06	2.94811E-01	1.92049E-03	-3.95970E+03	3.75500E-03	4.01937E-11	4.01937E-11	6.20277E-10
-4.10000E+02	-4.09972E+02	1.00000E+06	2.92313E-01	9.92790E-04	-3.95971E+03	1.70294E-03	4.01936E-11	4.01936E-11	3.18260E-10
-4.20000E+02	-4.19955E+02	1.00000E+06	3.11073E-01	1.89321E-03	-3.95971E+03	4.01248E-03	4.01936E-11	4.01936E-11	3.82631E-10
-4.30000E+02	-4.29959E+02	1.00000E+06	3.04533E-01	1.53588E-03	-3.95970E+03	3.22490E-03	4.01937E-11	4.01937E-11	6.85923E-10
-4.40000E+02	-4.39966E+02	1.00000E+06	3.06941E-01	1.16796E-03	-3.95971E+03	3.74166E-03	4.01936E-11	4.01936E-11	6.07106E-10
-4.50000E+02	-4.49952E+02	1.00000E+06	3.01256E-01	2.35590E-03	-3.95970E+03	3.59166E-03	4.01937E-11	4.01937E-11	5.00383E-10
-4.60000E+02	-4.59965E+02	1.00000E+06	4.89870E-01	1.38882E-03	-3.95979E+03	3.30151E-03	4.01928E-11	4.01928E-11	4.66633E-10
-4.70000E+02	-4.69960E+02	1.00000E+06	4.97728E-01	2.53904E-03	-3.95978E+03	3.17805E-03	4.01928E-11	4.01928E-11	3.27108E-10
-4.80000E+02	-4.79970E+02	1.00000E+06	4.74634E-01	1.45496E-03	-3.95979E+03	3.22490E-03	4.01928E-11	4.01928E-11	4.47906E-10
-4.90000E+02	-4.89960E+02	1.00000E+06	4.97452E-01	1.66987E-03	-3.95979E+03	3.94968E-03	4.01928E-11	4.01928E-11	4.84125E-10
-5.00000E+02	-4.99972E+02	1.00000E+06	4.96349E-01	2.11840E-03	-3.95979E+03	4.78539E-03	4.01928E-11	4.01928E-11	4.00163E-10
