#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               22.7 C
#  Switchcard temperature:              23.6 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	1.41648E-05	1.00000E+00	8.75126E+03	1.48211E+01	-1.00546E+04	1.29705E+01	3.16581E+02	3.45324E-08
0.00000E+00	1.47786E-05	2.00000E+00	8.81154E+03	1.28585E+01	-1.00288E+04	1.28890E+01	3.17397E+02	3.28196E-08
0.00000E+00	1.35011E-05	3.00000E+00	9.73087E+03	4.12666E+00	-8.58368E+03	4.24828E+00	3.70831E+02	-7.48009E-09
0.00000E+00	1.31693E-05	4.00000E+00	1.11844E+04	4.65343E+00	-6.85701E+03	1.90312E+00	4.64211E+02	-5.46198E-09
0.00000E+00	1.39656E-05	5.00000E+00	1.13420E+04	2.30530E+00	-6.77547E+03	2.38098E+00	4.69798E+02	1.42789E-09
0.00000E+00	1.44468E-05	6.00000E+00	1.13438E+04	3.41795E+00	-6.77055E+03	4.10449E+00	4.70139E+02	2.01834E-09
0.00000E+00	1.54008E-05	7.00000E+00	9.84303E+03	1.39969E+01	-8.55257E+03	1.25176E+01	3.72180E+02	4.14112E-08
0.00000E+00	1.49445E-05	8.00000E+00	9.70813E+03	1.22405E+01	-8.55245E+03	1.01628E+01	3.72186E+02	2.22981E-08
0.00000E+00	1.50690E-05	9.00000E+00	1.11570E+04	2.09151E+00	-6.86454E+03	1.99784E+00	4.63701E+02	-4.21206E-09
0.00000E+00	1.55418E-05	1.00000E+01	1.13071E+04	9.56243E-01	-6.82022E+03	1.80972E+00	4.66715E+02	9.95011E-10
0.00000E+00	1.45463E-05	1.10000E+01	1.19454E+04	2.61427E+00	-7.48207E+03	2.46391E+00	4.25430E+02	1.33090E-09
0.00000E+00	1.48616E-05	1.20000E+01	1.12714E+04	1.42913E+00	-6.78175E+03	2.03703E+00	4.69363E+02	1.97485E-09
0.00000E+00	1.53261E-05	1.30000E+01	1.12509E+04	4.37676E+00	-6.77541E+03	8.67585E-01	4.69801E+02	2.67784E-09
0.00000E+00	1.46791E-05	1.40000E+01	1.11968E+04	2.20871E+00	-6.81956E+03	3.87071E+00	4.66760E+02	3.02591E-09
0.00000E+00	1.45961E-05	1.50000E+01	9.75088E+03	1.54291E+01	-8.52619E+03	1.30672E+01	3.73332E+02	4.64198E-08
0.00000E+00	1.46459E-05	1.60000E+01	8.59991E+03	1.74214E+01	-9.84688E+03	1.63342E+01	3.23260E+02	7.04170E-08
0.00000E+00	1.40652E-05	1.70000E+01	1.10146E+04	6.53361E+00	-6.96365E+03	4.65512E+00	4.57102E+02	-1.95285E-08
0.00000E+00	1.46542E-05	1.80000E+01	1.11944E+04	1.14298E+00	-6.84492E+03	2.45359E+00	4.65031E+02	-1.93394E-09
0.00000E+00	1.48284E-05	1.90000E+01	1.12389E+04	3.86657E+00	-6.79235E+03	3.81768E+00	4.68630E+02	2.06809E-09
0.00000E+00	1.49030E-05	2.00000E+01	1.12754E+04	2.41777E+00	-6.78753E+03	3.40806E+00	4.68962E+02	2.26686E-09
0.00000E+00	1.45049E-05	2.10000E+01	1.30059E+04	8.06067E+00	-8.59974E+03	1.03897E+01	3.70139E+02	-9.47290E-11
0.00000E+00	1.45712E-05	2.20000E+01	1.13028E+04	1.89884E+00	-6.77557E+03	2.70889E+00	4.69791E+02	2.64918E-09
0.00000E+00	1.45546E-05	2.30000E+01	1.12557E+04	1.29522E+00	-6.79993E+03	2.94724E+00	4.68108E+02	2.15700E-09
0.00000E+00	1.49860E-05	2.40000E+01	1.11886E+04	1.83238E+00	-6.85597E+03	3.60794E+00	4.64282E+02	2.12851E-09
