# Standard Values for Load Correction at 50 kHz
# Extracted from needle measurements of cell 62 at 50 kHz measurement and scaled with area
# To be used with HPK 6" 128ch sensors as load
# 
# Types:
#   - 0 Full
#   - 1 Guard Ring
#   - 2 Half Cell
#   - 3 Mouse Bite
#   - 4 Outer Calibration Cell
#   - 5 Inner Calibration Cell
#   - 20 Full Cell 20 micron gap
#   - 40 Full Cell 40 micron gap
#   - 60 Full Cell 60 micron gap
#   - 80 Full Cell 80 micron gap
# 
# Voltage [V] Cell Nr. [-] Type [-] Area [cm2] Resistance [Ohm] Reactance [Ohm] Capacitance [F]
# 
0.00	66	60	 1.08438	0.00E+00	2.92320E+04	-1.08891E-10
0.00	67	60	 1.08438	0.00E+00	2.92320E+04	-1.08891E-10
0.00	68	80	 1.08052	0.00E+00	2.93363E+04	-1.08504E-10
0.00	69	80	 1.08052	0.00E+00	2.93363E+04	-1.08504E-10
0.00	70	80	 1.08052	0.00E+00	2.93363E+04	-1.08504E-10
0.00	71	80	 1.08052	0.00E+00	2.93363E+04	-1.08504E-10
0.00	72	80	 1.08052	0.00E+00	2.93363E+04	-1.08504E-10
0.00	73	2	 0.53816	0.00E+00	5.89021E+04	-5.40405E-11
0.00	74	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	75	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	76	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	77	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	78	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	79	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	80	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	81	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	82	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	83	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	84	2	 0.53816	0.00E+00	5.89021E+04	-5.40405E-11
0.00	85	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	86	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	87	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	88	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	89	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	90	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	91	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	92	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	93	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	94	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	95	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	96	3	 0.37259	0.00E+00	8.50769E+04	-3.74144E-11
0.00	97	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	98	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	99	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	100	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	101	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	102	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	103	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	104	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	105	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	106	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	107	3	 0.37259	0.00E+00	8.50769E+04	-3.74144E-11
0.00	108	3	 0.37259	0.00E+00	8.50769E+04	-3.74144E-11
0.00	109	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	110	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	111	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	112	20	 1.09215	0.00E+00	2.90240E+04	-1.09671E-10
0.00	113	4	 0.93016	0.00E+00	3.40784E+04	-9.34051E-11
0.00	114	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	115	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
0.00	116	40	 1.08824	0.00E+00	2.91282E+04	-1.09279E-10
