#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.00E-01 V
#  LCR measurement frequency:          1E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               21.1 C
#  Switchcard temperature:              22.7 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	6.34113E-06	4.00000E+01	1.02910E+05	1.17533E+02	-1.31529E+05	7.22413E+01	1.21004E+02	-6.10580E-09
0.00000E+00	7.37808E-06	4.10000E+01	1.09061E+05	1.20440E+02	-1.40808E+05	3.52851E+01	1.13030E+02	-6.69334E-09
0.00000E+00	6.49876E-06	4.20000E+01	1.06629E+05	4.89015E+01	-1.37279E+05	8.99902E+01	1.15935E+02	-7.37918E-09
0.00000E+00	6.99646E-06	4.30000E+01	1.04543E+05	5.59092E+01	-1.34013E+05	4.32463E+01	1.18760E+02	-6.94777E-09
0.00000E+00	6.05081E-06	4.40000E+01	1.10004E+05	9.46708E+01	-1.42048E+05	4.56044E+01	1.12043E+02	-6.84252E-09
0.00000E+00	7.51080E-06	4.50000E+01	1.10891E+05	9.49071E+01	-1.43380E+05	2.86454E+01	1.11002E+02	-6.26446E-09
0.00000E+00	8.87953E-06	4.60000E+01	1.05040E+05	4.70956E+01	-1.34790E+05	5.08150E+01	1.18076E+02	-5.97211E-09
0.00000E+00	9.10350E-06	4.70000E+01	1.03991E+05	6.06940E+01	-1.33266E+05	4.84933E+01	1.19427E+02	-5.90270E-09
0.00000E+00	6.47383E-06	4.80000E+01	1.02457E+05	5.90275E+01	-1.31094E+05	3.76117E+01	1.21406E+02	-6.04985E-09
0.00000E+00	8.52284E-06	4.90000E+01	1.00377E+05	7.75371E+01	-1.28089E+05	6.87122E+01	1.24254E+02	-5.16819E-09
0.00000E+00	7.65180E-06	5.00000E+01	1.01902E+05	2.93626E+01	-1.30477E+05	7.97997E+01	1.21979E+02	-6.34367E-09
0.00000E+00	7.24530E-06	5.10000E+01	1.06226E+05	8.70205E+01	-1.36768E+05	6.15227E+01	1.16368E+02	-5.11772E-09
0.00000E+00	6.13373E-06	5.20000E+01	1.00630E+05	5.64425E+01	-1.28382E+05	3.35678E+01	1.23970E+02	-5.66900E-09
0.00000E+00	7.80941E-06	5.30000E+01	1.05251E+05	8.53337E+01	-1.35209E+05	5.98866E+01	1.17710E+02	-4.52613E-09
0.00000E+00	7.44444E-06	5.40000E+01	1.07679E+05	5.95369E+01	-1.38742E+05	9.03429E+01	1.14713E+02	-5.41105E-09
0.00000E+00	6.70611E-06	5.50000E+01	1.04720E+05	7.73113E+01	-1.34103E+05	5.30984E+01	1.18681E+02	-4.00492E-09
